county,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,Total_Enrollments
Alamance,22591,22648,22757,22837,22872,22918,23374,23596,23775,23881,23947,24043,279239
Alexander,4785,4826,4847,4858,4887,4924,4875,4966,5188,5173,5191,5190,59710
Alleghany,1636,1645,1651,1662,1670,1673,1619,1647,1795,1799,1809,1807,20413
Anson,2864,2878,2879,2898,2904,2912,2782,2840,3101,3124,3156,3173,35511
Ashe,3267,3275,3282,3298,3315,3306,3204,3273,3510,3518,3539,3545,40332
Avery,1929,1954,1950,1947,1944,1943,1910,1973,2112,2110,2125,2124,24021
Beaufort,5511,5552,5596,5624,5644,5652,5257,5512,6283,6301,6427,6483,69842
Bertie,2232,2245,2261,2275,2296,2297,2063,2152,2539,2551,2573,2587,28071
Bladen,4388,4395,4408,4406,4423,4439,4233,4355,4815,4846,4868,4895,54471
Brunswick,19137,19279,19420,19531,19657,19729,20468,21217,22028,22158,22336,22479,247439
Buncombe,26909,26999,27120,27201,27308,27326,28082,28639,28893,28946,28998,29088,335509
Burke,12075,12139,12174,12208,12259,12252,12072,12350,12902,12885,12946,12991,149253
Cabarrus,19185,19278,19371,19423,19522,19536,19578,20055,20813,20822,20893,20968,239444
Caldwell,11520,11588,11614,11615,11630,11651,11399,11630,12218,12270,12327,12349,141811
Camden,544,547,542,542,540,545,553,564,592,589,603,598,6759
Carteret,5050,5090,5115,5125,5156,5166,5736,6203,6804,6864,6947,6971,70227
Caswell,3719,3723,3743,3760,3778,3796,3823,3859,3914,3929,3956,3975,45975
Catawba,18371,18458,18546,18620,18664,18709,19353,19642,19855,19888,19916,19969,229991
Chatham,10156,10194,10262,10294,10332,10330,10781,10932,10992,11026,11036,11068,127403
Cherokee,4324,4363,4389,4400,4410,4427,4366,4481,4723,4733,4769,4787,54172
Chowan,1417,1418,1424,1436,1445,1452,1385,1434,1621,1623,1636,1650,17941
Clay,1539,1554,1556,1573,1574,1582,1546,1624,1706,1713,1709,1702,19378
Cleveland,12268,12299,12362,12412,12470,12491,12077,12386,13224,13283,13393,13436,152101
Columbus,6214,6244,6285,6292,6314,6301,5821,6154,6905,6934,6979,7010,77453
Craven,5790,5851,5886,5923,5956,5967,6329,6851,7886,7950,8094,8184,80667
Cumberland,25602,25782,25945,26071,26214,26269,27127,27665,28265,28441,28614,28743,324738
Currituck,1503,1522,1551,1544,1551,1554,1584,1658,1745,1750,1755,1759,19476
Dare,1930,1934,1944,1942,1961,1972,2045,2145,2252,2261,2269,2277,24932
Davidson,25758,25850,25964,25991,26078,26136,26590,26833,27020,27027,27119,27189,317555
Davie,6658,6692,6702,6716,6719,6742,6897,7001,7064,7086,7098,7113,82488
Duplin,4723,4741,4797,4812,4835,4853,4657,4779,5364,5403,5409,5446,59819
Durham,23065,23188,23296,23403,23479,23492,24496,24970,25198,25286,25354,25444,290671
Edgecombe,6193,6224,6264,6291,6321,6325,5794,6023,6948,6999,7073,7120,77575
Forsyth,47773,47938,48164,48271,48364,48411,49272,49786,50121,50214,50344,50457,589115
Franklin,7065,7103,7173,7182,7197,7204,7060,7258,7756,7811,7860,7889,88558
Gaston,25464,25569,25629,25708,25781,25848,25560,26002,27222,27290,27396,27469,314938
Gates,886,881,891,897,906,905,866,892,979,990,999,1007,11099
Graham,1041,1051,1056,1066,1068,1071,1041,1065,1139,1138,1145,1147,13028
Granville,6042,6084,6136,6135,6157,6213,6157,6283,6693,6733,6794,6805,76232
Greene,1813,1818,1832,1837,1858,1854,1852,1903,2080,2090,2106,2123,23166
Guilford,64847,65054,65362,65424,65566,65692,66750,67510,67985,68068,68271,68466,798995
Halifax,6466,6511,6565,6579,6609,6607,5766,5946,7172,7232,7323,7369,80145
Harnett,10326,10396,10436,10480,10574,10617,10114,10421,11419,11478,11533,11598,129392
Haywood,8471,8487,8520,8504,8537,8537,8386,8628,9064,9098,9153,9174,104559
Henderson,14251,14288,14368,14415,14458,14494,14930,15228,15342,15359,15396,15443,177972
Hertford,2395,2411,2423,2434,2448,2455,2063,2157,2692,2716,2726,2735,29655
Hoke,3958,3989,4027,4036,4063,4073,3818,3924,4357,4400,4414,4451,49510
Hyde,505,510,515,520,528,533,509,519,587,598,604,606,6534
Iredell,18996,19126,19217,19263,19348,19375,19261,19739,20516,20567,20655,20754,236817
Jackson,3736,3765,3779,3794,3798,3803,3775,3835,3997,4006,4018,4031,46337
Johnston,18015,18123,18209,18325,18436,18491,18335,18808,19874,19951,20050,20132,226749
Jones,1095,1107,1110,1125,1133,1136,1063,1112,1272,1288,1309,1292,14042
