county,JUN 2023,MAY 2023,APR 2023,MAR 2023,FEB 2023,JAN 2023,DEC 2022,NOV 2022,OCT 2022,SEP 2022,AUG 2022,JUL 2022
* The Public Health Emergency (COVID-19 Medicaid) ended.,0.0,,,,,,,,,,,
*The CHIP program was discontinued as of April 2023,,,0.0,,,,,,,,,
ALAMANCE,52819.0,54179.0,53796.0,52818.0,52341.0,51722.0,51330.0,50885.0,50439.0,50008.0,49544.0,49130.0
ALEXANDER,9975.0,10135.0,10135.0,9886.0,9850.0,9800.0,9766.0,9696.0,9685.0,9607.0,9532.0,9435.0
ALLEGHANY,3286.0,3294.0,3300.0,3233.0,3226.0,3215.0,3194.0,3164.0,3153.0,3129.0,3123.0,3110.0
ANSON,9674.0,9654.0,9635.0,9524.0,9508.0,9468.0,9407.0,9367.0,9287.0,9245.0,9175.0,9137.0
ASHE,6994.0,7078.0,7075.0,6924.0,6916.0,6870.0,6852.0,6817.0,6764.0,6743.0,6709.0,6691.0
AVERY,4095.0,4136.0,4114.0,4009.0,3999.0,3951.0,3923.0,3898.0,3867.0,3835.0,3816.0,3784.0
BEAUFORT,15282.0,15390.0,15302.0,14980.0,14993.0,14844.0,14761.0,14686.0,14648.0,14563.0,14483.0,14408.0
BERTIE,6964.0,7016.0,7012.0,6901.0,6925.0,6861.0,6819.0,6808.0,6793.0,6755.0,6750.0,6720.0
BLADEN,12567.0,12627.0,12594.0,12373.0,12597.0,12234.0,12202.0,12117.0,12061.0,11998.0,11929.0,11844.0
BRUNSWICK,32600.0,33700.0,33490.0,32775.0,32648.0,32125.0,31829.0,31640.0,31436.0,31180.0,31019.0,30843.0
BUNCOMBE,60742.0,61851.0,61715.0,60344.0,60249.0,59597.0,59209.0,58818.0,58509.0,58077.0,57671.0,57226.0
BURKE,27480.0,28256.0,28103.0,27392.0,27271.0,27072.0,26943.0,26793.0,26673.0,26520.0,26320.0,26169.0
CABARRUS,54898.0,56554.0,56361.0,54964.0,54902.0,54131.0,53792.0,53443.0,53067.0,52563.0,52081.0,51783.0
CALDWELL,27618.0,28076.0,28008.0,27673.0,27536.0,27210.0,27006.0,26847.0,26684.0,26519.0,26398.0,26251.0
CAMDEN,1714.0,1813.0,1792.0,1741.0,1743.0,1734.0,1727.0,1702.0,1700.0,1668.0,1642.0,1615.0
CARTERET,15010.0,15506.0,15488.0,15152.0,15129.0,14916.0,14794.0,14725.0,14666.0,14604.0,14485.0,14397.0
CASWELL,6813.0,6812.0,6801.0,6761.0,6811.0,6718.0,6706.0,6682.0,6660.0,6645.0,6628.0,6624.0
CATAWBA,43745.0,44981.0,44811.0,43698.0,43418.0,43014.0,42642.0,42345.0,42060.0,41784.0,41340.0,41071.0
CHATHAM,12483.0,12810.0,12766.0,12453.0,12402.0,12300.0,12213.0,12118.0,12077.0,12043.0,11900.0,11784.0
