FIPS,County,State,RUCC_2013,UIC_2013,HPSA_PrimaryCare_2023,HPSA_Dental_2023,HPSA_Mental_2023,MDs_All_2021,MDs_PrimaryCare_perCap_2021,MDs_FamilyMed_2021,MDs_InternalMed_2021,MDs_Pediatrics_2021
37003,Alexander,North Carolina,2.0,2.0,2.0,2.0,2.0,15.0,7.0,7.0,0.0,0.0
37005,Alleghany,North Carolina,9.0,10.0,2.0,2.0,1.0,16.0,10.0,8.0,1.0,0.0
37007,Anson,North Carolina,6.0,4.0,1.0,2.0,2.0,17.0,10.0,8.0,0.0,2.0
37009,Ashe,North Carolina,7.0,10.0,2.0,2.0,1.0,35.0,13.0,13.0,0.0,1.0
37011,Avery,North Carolina,8.0,7.0,2.0,2.0,2.0,19.0,4.0,4.0,1.0,0.0
37013,Beaufort,North Carolina,6.0,5.0,2.0,2.0,2.0,80.0,22.0,10.0,7.0,5.0
37015,Bertie,North Carolina,7.0,11.0,2.0,2.0,2.0,6.0,4.0,2.0,1.0,0.0
37017,Bladen,North Carolina,6.0,6.0,2.0,2.0,1.0,16.0,7.0,6.0,1.0,0.0
37019,Brunswick,North Carolina,2.0,2.0,2.0,0.0,0.0,211.0,46.0,24.0,20.0,7.0
37021,Buncombe,North Carolina,2.0,2.0,2.0,2.0,2.0,1697.0,356.0,247.0,123.0,56.0
37023,Burke,North Carolina,2.0,2.0,2.0,2.0,2.0,185.0,45.0,29.0,17.0,8.0
37025,Cabarrus,North Carolina,1.0,1.0,2.0,2.0,2.0,516.0,171.0,83.0,71.0,35.0
37027,Caldwell,North Carolina,2.0,2.0,2.0,2.0,2.0,96.0,36.0,23.0,10.0,7.0
37029,Camden,North Carolina,8.0,3.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0
37031,Carteret,North Carolina,4.0,5.0,2.0,0.0,1.0,176.0,34.0,18.0,12.0,7.0
37033,Caswell,North Carolina,8.0,7.0,2.0,2.0,2.0,11.0,5.0,1.0,1.0,2.0
37035,Catawba,North Carolina,2.0,2.0,2.0,2.0,2.0,428.0,94.0,48.0,38.0,17.0
37037,Chatham,North Carolina,2.0,2.0,2.0,2.0,2.0,706.0,69.0,28.0,48.0,28.0
37039,Cherokee,North Carolina,9.0,12.0,2.0,2.0,2.0,33.0,10.0,3.0,7.0,0.0
37041,Chowan,North Carolina,6.0,4.0,2.0,2.0,1.0,34.0,9.0,4.0,6.0,1.0
37043,Clay,North Carolina,9.0,12.0,2.0,2.0,2.0,16.0,4.0,4.0,0.0,1.0
37045,Cleveland,North Carolina,4.0,3.0,2.0,2.0,0.0,158.0,43.0,20.0,15.0,12.0
37047,Columbus,North Carolina,6.0,6.0,2.0,2.0,1.0,56.0,20.0,10.0,9.0,2.0
37049,Craven,North Carolina,3.0,2.0,2.0,2.0,2.0,289.0,66.0,22.0,36.0,16.0
37051,Cumberland,North Carolina,2.0,2.0,2.0,2.0,2.0,758.0,214.0,109.0,96.0,42.0
37053,Currituck,North Carolina,1.0,1.0,0.0,1.0,1.0,15.0,8.0,4.0,3.0,1.0
37055,Dare,North Carolina,4.0,3.0,0.0,0.0,1.0,66.0,20.0,12.0,4.0,3.0
37057,Davidson,North Carolina,2.0,2.0,2.0,2.0,0.0,116.0,44.0,20.0,14.0,13.0
37059,Davie,North Carolina,2.0,2.0,0.0,2.0,2.0,97.0,17.0,11.0,3.0,4.0
37061,Duplin,North Carolina,6.0,6.0,2.0,2.0,1.0,32.0,11.0,7.0,3.0,3.0
37063,Durham,North Carolina,2.0,2.0,2.0,2.0,2.0,4191.0,384.0,155.0,364.0,146.0
