COUNTY,Age_Group_Less_than_1_year,Age_Group_or_more_years,Age_Group_years,Payer_Court/Law_Enforcement,"Payer_Discharged,_transferred_to_acute_facility","Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care","Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)","Payer_Discharged,_transferred_to_psychiatric_facility","Payer_Discharged,_transferred_to_rehab_facility",Payer_Expired,Payer_GA,Payer_Hospice,Payer_Left_against_medical_advice,Payer_Medicaid,Payer_Medicare,Payer_Other,Payer_Other_government,Payer_Other/Unknown,"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",Payer_Patient_Residence_State_NC,Payer_SC,Payer_TN,Payer_Total_Number_of_Visits,Payer_Uninsured,Payer_Unknown,Payer_VA,Point_of_Origin_Court/law_enforcement,Point_of_Origin_Information_not_available,Point_of_Origin_Newborn,"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,Point_of_Origin_s_office,Race_African_American,Race_American_Indian,Race_Asian/Pacific_Islander,Race_Caucasian,Race_Ethnicity_Hispanic,Race_Ethnicity_Non_Hispanic,Race_Non_Hispanic,Race_Other_Race,Race_Unavailable,Race_Unknown
ALAMANCE,517.0,1706.0,42173.0,41.0,587.0,366.0,26.0,682.0,9.0,76.0,42.0,17.0,461.0,9232.0,4066.0,2146.0,827.0,172.0,41959.0,43407.0,54.0,27.0,0.0,9928.0,0.0,158.0,1.0,3.0,0.0,0.0,3.0,27.0,15179.0,102.0,234.0,24591.0,3531.0,0.0,40434.0,3871.0,419.0,431.0
ALEXANDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLEGHANY,62.0,243.0,4611.0,21.0,376.0,99.0,0.0,0.0,0.0,14.0,6.0,0.0,105.0,1382.0,1019.0,93.0,179.0,0.0,4301.0,3923.0,9.0,4.0,0.0,702.0,0.0,911.0,0.0,0.0,0.0,0.0,2.0,2.0,155.0,23.0,4.0,4349.0,390.0,0.0,4521.0,154.0,231.0,5.0
ANSON,179.0,288.0,15212.0,183.0,1230.0,86.0,0.0,158.0,0.0,47.0,7.0,1.0,618.0,4928.0,2331.0,25.0,170.0,0.0,13356.0,15216.0,418.0,10.0,0.0,2790.0,0.0,3.0,142.0,0.0,0.0,131.0,4.0,2.0,10441.0,154.0,42.0,4989.0,230.0,0.0,15329.0,3.0,50.0,120.0
ASHE,67.0,586.0,7785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1330.0,2601.0,225.0,316.0,0.0,8438.0,8039.0,30.0,41.0,0.0,1134.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,8438.0,113.0,5.0,6.0,8034.0,240.0,0.0,8176.0,258.0,22.0,22.0
AVERY,51.0,336.0,6688.0,16.0,677.0,33.0,0.0,81.0,6.0,12.0,103.0,4.0,66.0,1190.0,1463.0,574.0,254.0,0.0,6180.0,5913.0,151.0,295.0,0.0,1168.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,3.0,16.0,6619.0,262.0,0.0,6799.0,360.0,0.0,14.0
BEAUFORT,154.0,683.0,17123.0,106.0,920.0,113.0,5.0,156.0,9.0,24.0,11.0,8.0,276.0,3438.0,5667.0,133.0,242.0,25.0,16318.0,17747.0,10.0,11.0,0.0,4507.0,0.0,48.0,215.0,0.0,0.0,131.0,39.0,0.0,6904.0,27.0,14.0,10007.0,803.0,0.0,17093.0,1004.0,4.0,64.0
BERTIE,46.0,399.0,8550.0,135.0,756.0,275.0,2.0,25.0,1.0,5.0,0.0,2.0,85.0,1481.0,3056.0,36.0,78.0,1.0,7708.0,8931.0,3.0,1.0,0.0,2443.0,0.0,24.0,90.0,0.0,0.0,375.0,10.0,0.0,6481.0,3.0,15.0,2402.0,53.0,0.0,8904.0,93.0,1.0,38.0
BLADEN,158.0,262.0,10778.0,0.0,545.0,28.0,0.0,11.0,0.0,78.0,10.0,4.0,266.0,2498.0,1520.0,290.0,1657.0,301.0,9965.0,11027.0,32.0,2.0,0.0,2935.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,4980.0,194.0,61.0,5344.0,532.0,0.0,10306.0,600.0,19.0,360.0
BRUNSWICK,348.0,1378.0,34902.0,47.0,1044.0,131.0,20.0,315.0,26.0,11.0,64.0,19.0,243.0,6356.0,7222.0,1079.0,1758.0,0.0,34772.0,34807.0,378.0,48.0,9756.0,5976.0,118.0,252.0,0.0,0.0,0.0,0.0,205.0,18.0,4359.0,167.0,99.0,30711.0,1360.0,0.0,35026.0,1139.0,153.0,242.0
BUNCOMBE,948.0,2098.0,63539.0,249.0,221.0,830.0,19.0,598.0,88.0,262.0,307.0,45.0,2310.0,16042.0,8642.0,1921.0,4131.0,79.0,61884.0,63157.0,575.0,466.0,0.0,13197.0,0.0,159.0,281.0,477.0,1.0,674.0,1187.0,840.0,8281.0,459.0,496.0,55358.0,4078.0,0.0,62103.0,375.0,1616.0,404.0
BURKE,407.0,1166.0,35612.0,258.0,679.0,696.0,1.0,214.0,13.0,75.0,17.0,52.0,2365.0,9336.0,4713.0,147.0,885.0,61.0,32771.0,36917.0,47.0,27.0,0.0,8086.0,0.0,30.0,155.0,0.0,0.0,128.0,38.0,1.0,3141.0,30.0,390.0,33236.0,2051.0,0.0,34318.0,15.0,373.0,816.0
CABARRUS,1365.0,2022.0,88695.0,98.0,710.0,577.0,0.0,1041.0,19.0,85.0,88.0,18.0,5593.0,22154.0,10934.0,871.0,1852.0,26.0,83915.0,90572.0,405.0,29.0,0.0,16243.0,0.0,117.0,35.0,3.0,0.0,114.0,84.0,13.0,28329.0,767.0,883.0,57644.0,8872.0,0.0,81448.0,223.0,4236.0,1762.0
CALDWELL,239.0,672.0,19404.0,66.0,464.0,171.0,2.0,35.0,5.0,49.0,18.0,37.0,388.0,5175.0,2217.0,510.0,263.0,73.0,19025.0,20137.0,22.0,26.0,0.0,4141.0,0.0,19.0,19.0,0.0,0.0,83.0,36.0,4.0,2292.0,13.0,35.0,16882.0,879.0,0.0,19392.0,1014.0,79.0,44.0
CAMDEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARTERET,325.0,1506.0,31846.0,2.0,899.0,629.0,1.0,265.0,8.0,296.0,60.0,190.0,645.0,4926.0,7801.0,1142.0,3373.0,2.0,30740.0,32241.0,68.0,33.0,0.0,5411.0,2134.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,3423.0,25.0,141.0,28312.0,0.0,0.0,33649.0,1748.0,28.0,28.0
CASWELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATAWBA,804.0,2222.0,60573.0,347.0,1243.0,712.0,0.0,143.0,3.0,101.0,43.0,57.0,441.0,12554.0,8120.0,1658.0,2435.0,1.0,60551.0,62935.0,133.0,47.0,0.0,13018.0,0.0,72.0,113.0,59.0,0.0,72.0,50.0,24882.0,9359.0,30.0,843.0,48346.0,3835.0,0.0,59404.0,4583.0,438.0,360.0
CHATHAM,226.0,489.0,13197.0,6.0,584.0,52.0,0.0,24.0,1.0,19.0,4.0,9.0,135.0,3355.0,1267.0,359.0,171.0,174.0,12908.0,13821.0,17.0,1.0,0.0,3153.0,0.0,17.0,7.0,0.0,0.0,15.0,73.0,27.0,3278.0,39.0,38.0,8231.0,2201.0,0.0,11645.0,2254.0,72.0,66.0
CHEROKEE,78.0,571.0,10753.0,30.0,1105.0,99.0,1.0,192.0,0.0,36.0,581.0,4.0,232.0,2212.0,3870.0,347.0,189.0,3.0,9700.0,10223.0,32.0,206.0,0.0,2455.0,0.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,273.0,68.0,26.0,10954.0,209.0,0.0,11178.0,64.0,17.0,15.0
CHOWAN,239.0,617.0,13903.0,31.0,512.0,206.0,1.0,56.0,0.0,20.0,10.0,7.0,112.0,2791.0,4551.0,119.0,269.0,43.0,13771.0,14494.0,13.0,3.0,0.0,4092.0,0.0,120.0,34.0,0.0,0.0,248.0,27.0,0.0,6970.0,15.0,23.0,7107.0,448.0,0.0,14247.0,644.0,0.0,64.0
CLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEVELAND,1065.0,1271.0,72864.0,31.0,1275.0,348.0,0.0,390.0,7.0,73.0,44.0,22.0,1973.0,22753.0,9962.0,333.0,1438.0,4.0,71077.0,71199.0,3566.0,20.0,0.0,14740.0,0.0,38.0,100.0,6.0,1.0,205.0,556.0,71.0,22413.0,437.0,225.0,51250.0,2297.0,0.0,71362.0,33.0,842.0,1541.0
