County,Region,AVG_MA_Enrollments_2023_FY,AVG_MC_Enrollees,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,RUCC_2013,UIC_2013,HPSA_PrimaryCare_2023,HPSA_Dental_2023,HPSA_Mental_2023,MDs_All_2021,MDs_PrimaryCare_perCap_2021,MDs_FamilyMed_2021,MDs_InternalMed_2021,MDs_Pediatrics_2021,Age_Group_Less_than_1_year,Age_Group_or_more_years,Age_Group_years,Total_ED,Payer_Court/Law_Enforcement,"Payer_Discharged,_transferred_to_acute_facility","Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care","Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)","Payer_Discharged,_transferred_to_psychiatric_facility","Payer_Discharged,_transferred_to_rehab_facility",Payer_Expired,Payer_GA,Payer_Hospice,Payer_Left_against_medical_advice,Payer_Medicaid,Payer_Medicare,Payer_Other,Payer_Other_government,Payer_Other/Unknown,"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",Payer_Patient_Residence_State_NC,Payer_SC,Payer_TN,Payer_Total_Number_of_Visits,Payer_Uninsured,Payer_Unknown,Payer_VA,Point_of_Origin_Court/law_enforcement,Point_of_Origin_Information_not_available,Point_of_Origin_Newborn,"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,Point_of_Origin_s_office,Race_African_American,Race_American_Indian,Race_Asian/Pacific_Islander,Race_Caucasian,Race_Ethnicity_Hispanic,Race_Ethnicity_Non_Hispanic,Race_Non_Hispanic,Race_Other_Race,Race_Unavailable,Race_Unknown,ACCESS2_age-adjusted_prevalence,ACCESS2_crude_prevalence,BINGE_age-adjusted_prevalence,BINGE_crude_prevalence,BPMED_age-adjusted_prevalence,BPMED_crude_prevalence,CANCER_age-adjusted_prevalence,CANCER_crude_prevalence,CASTHMA_age-adjusted_prevalence,CASTHMA_crude_prevalence,CHD_age-adjusted_prevalence,CHD_crude_prevalence,CHECKUP_age-adjusted_prevalence,CHECKUP_crude_prevalence,CHOLSCREEN_age-adjusted_prevalence,CHOLSCREEN_crude_prevalence,COGNITION_age-adjusted_prevalence,COGNITION_crude_prevalence,COLON_SCREEN_age-adjusted_prevalence,COLON_SCREEN_crude_prevalence,CSMOKING_age-adjusted_prevalence,CSMOKING_crude_prevalence,DENTAL_age-adjusted_prevalence,DENTAL_crude_prevalence,DIABETES_age-adjusted_prevalence,DIABETES_crude_prevalence,DISABILITY_age-adjusted_prevalence,DISABILITY_crude_prevalence,EMOTIONSPT_age-adjusted_prevalence,EMOTIONSPT_crude_prevalence,FOODINSECU_age-adjusted_prevalence,FOODINSECU_crude_prevalence,FOODSTAMP_age-adjusted_prevalence,FOODSTAMP_crude_prevalence,GHLTH_age-adjusted_prevalence,GHLTH_crude_prevalence,HEARING_age-adjusted_prevalence,HEARING_crude_prevalence,HOUSINSECU_age-adjusted_prevalence,HOUSINSECU_crude_prevalence,INDEPLIVE_age-adjusted_prevalence,INDEPLIVE_crude_prevalence,ISOLATION_age-adjusted_prevalence,ISOLATION_crude_prevalence,LACKTRPT_age-adjusted_prevalence,LACKTRPT_crude_prevalence,LPA_age-adjusted_prevalence,LPA_crude_prevalence,MAMMOUSE_age-adjusted_prevalence,MAMMOUSE_crude_prevalence,MHLTH_age-adjusted_prevalence,MHLTH_crude_prevalence,MOBILITY_age-adjusted_prevalence,MOBILITY_crude_prevalence,OBESITY_age-adjusted_prevalence,OBESITY_crude_prevalence,PHLTH_age-adjusted_prevalence,PHLTH_crude_prevalence,SELFCARE_age-adjusted_prevalence,SELFCARE_crude_prevalence,SHUTUTILITY_age-adjusted_prevalence,SHUTUTILITY_crude_prevalence,SLEEP_age-adjusted_prevalence,SLEEP_crude_prevalence,STROKE_age-adjusted_prevalence,STROKE_crude_prevalence,VISION_age-adjusted_prevalence,VISION_crude_prevalence
Alamance,Piedmont,23270,51584.25,423.4519878,171779,0,74055,83,67370,685,39261,2077,4323,578,16426,1070,13538,1005,16631,1169,29084,76,37805,18,21818,1124,4282,571,4582,549,66607,371,5967,697,8442,561,1150,237,3343,482,4913,110,23.5,1.2,5,0.7,24.4,1.6,11.7,0.9,9.7,0.7,16.9,0.1,22,0.1,12.8,0.7,6.3,0.8,2.8,0.3,38.8,0.2,8,0.9,11.4,0.8,1.7,0.4,5,0.7,2.9,0.1,0.3636,0.3636,0.5455,0.4242,0.2323,1.9292,0.3232,0.2323,0.697,0.1313,0.4747,0.9091,2.4444,0.5051,0.596,0.596,0.596,0.8586,0.1616,0.3232,0.4545,0.6465,2.4444,0.4444,7.414,0.4141,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,167722,9354,756,33408,726,23200,0,2748,257,183,64,57,33,5958,800,1053,500,13.9,1.1,19.4,0.4,13.5,0,1.6,0.1,0.1,0.1,0,0.1,3.5,0.5,0.6,0.3,0,0,0,0,0,0,0,0,0,0,517,1706,42173,44396,41,587,366,26,682,9,76,42,17,461,9232,4066,2146,827,172,41959,43407,54,27,0,9928,0,158,1,3,0,0,3,27,15179,102,234,24591,3531,0,40434,3871,419,431,13.2,10.5,18.2,16.9,62,79.3,6.5,7.6,10.3,10.2,6.3,7.4,75.9,77.5,84.8,85.7,16.5,15.9,60.8,66.2,17.3,16.4,59,60.1,11.3,12.7,32.8,34,23.3,23.1,15.8,15.6,15.4,15,19.7,20.3,7.5,8.4,15.3,14.4,9,9.1,32.2,31.7,9.5,9.3,25.8,26.2,79.1,79.5,17.8,16.9,14.1,15.7,38,37.3,13.6,14.1,4.3,4.5,9.3,8.7,36.7,35.5,3.7,4.2,6.1,6.4
Alexander,West,4976,9791.83333,259.9849419,36505,0,16035,69,13761,442,7547,1098,982,380,2265,368,3695,519,3213,619,7430,101,7180,100,6042,711,632,211,175,135,5077,46,104,80,4158,499,401,186,387,142,1294,83,21.5,3.1,5.6,2.1,16.5,2.6,14,1.9,9.1,1.8,20.4,0.3,19.7,0.3,17.1,2,4.6,1.5,0.5,0.4,13.9,0.1,0.6,0.5,25.9,3.1,2.9,1.3,2.8,1,3.5,0.2,0.2727,0.5556,0,0.6162,0.1616,1.6061,0.202,0.4949,0.3838,0.5152,0.1717,0.1414,1.707,0.0707,0.1515,0.1515,0.1515,0.0808,0.8586,0.8182,0.0606,0.7273,2.5455,0.5354,6.0101,0.2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27580,2255,370,1597,342,1872,0,393,76,75,66,0,29,1080,336,60,33,16.4,2.6,4.4,0.9,5.1,0,1.1,0.2,0.2,0.2,0,0.1,3,0.9,0.2,0.1,2,2,2,2,2,15,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,8.7,19.3,17,60,80.2,7.3,9.5,10.1,10.1,6.2,8.2,74.2,77.2,83.4,86,16.1,15.3,60.4,65.2,16.2,15.9,61.9,62.8,9.7,12.1,31.7,34.1,22.7,21.7,13.9,13,13.5,12.5,17.3,19,7.5,9.2,13.3,11.9,8.3,8.7,31.3,29.6,8.6,7.9,22.7,24.3,76.5,76.8,17.6,16.2,12.5,15.5,33.8,33.9,12.9,14.2,3.6,4.2,8.2,7.4,34.3,33.1,3.2,4.1,5.2,5.7
Alleghany,West,1701,3202.25,234.8350665,10989,0,7726,48,4937,237,3702,508,247,135,1056,224,1506,336,1459,283,3079,108,1792,39,1891,273,168,82,160,127,1511,12,106,65,1203,224,156,78,278,109,184,12,34,4.7,5.3,2.9,21.4,4.4,17.7,3.9,13.4,2.6,28,1,16.3,0.4,17.4,2.5,3.4,1.7,1.5,1.2,13.8,0.1,1.3,0.8,15.6,2.9,3.2,1.6,5.6,2.2,1.7,0.1,0.8384,0.4848,0.2828,0.8687,0.8384,3.3131,0.7879,0.9192,0.0707,0.5758,0.0505,0.5859,2.2021,0.2727,0.1414,0.1414,0.1414,0.2323,0.3636,0.899,0.5657,0.4141,2.4747,0.4545,8.1313,0.5758,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9716,999,233,202,96,1103,0,33,36,32,25,0,21,141,91,0,21,20.2,4.4,1.8,0.9,10,0,0.3,0.3,0.3,0.2,0,0.4,1.3,0.8,0,0.4,9,10,2,2,1,16,10,8,1,0,62,243,4611,4916,21,376,99,0,0,0,14,6,0,105,1382,1019,93,179,0,4301,3923,9,4,0,702,0,911,0,0,0,0,2,2,155,23,4,4349,390,0,4521,154,231,5,15.1,9,18.2,14.2,61.1,83.6,7.1,11,10.6,10.2,7.1,11.1,74.4,79.8,81.2,86.5,18.9,16.6,57.7,65.3,19.6,18,55.4,57.8,11.1,15.7,36.7,40.5,22.6,21,18.2,16.2,19.9,17.8,21.1,23.6,9.1,12.8,15.4,12.6,10.2,10.6,32.4,29.4,10.5,9,27.2,29.7,75.2,76.5,19.7,16.4,15.2,20.8,36.6,36.2,15.2,17.2,4.7,5.7,9.8,8,35.1,32.6,3.8,5.6,6.4,7.4
Anson,Piedmont,2959,9423.41667,531.4609632,22200,0,9963,259,8266,391,7033,868,599,202,2475,356,2765,352,2625,471,4339,86,4438,60,4168,442,726,182,134,134,12385,41,90,74,2376,307,151,69,588,161,1962,623,34.8,4.2,6.4,2.1,29.9,4.1,17.5,2.2,13,2.2,19.5,0.4,20,0.3,20.6,2.1,8.7,2.2,0.6,0.6,55.8,0.2,0.9,0.7,23.8,2.9,1.8,0.8,7.1,1.9,8.8,2.8,0.8586,0.7172,0.8889,0.8586,0.8283,4.1516,0.9596,0.4444,0.4141,0.9091,0.8788,0.1717,2.8181,0.7677,0.8687,0.8687,0.8687,0.1313,0.7677,0.3535,0.7778,0.9293,2.9596,0.7677,10.798,0.899,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,19694,1313,231,10491,173,1012,0,335,49,40,34,0,25,474,172,33,41,15.9,2.8,47.3,0.8,4.6,0,1.5,0.2,0.2,0.2,0,0.2,2.1,0.8,0.1,0.2,6,4,1,2,2,17,10,8,0,2,179,288,15212,15679,183,1230,86,0,158,0,47,7,1,618,4928,2331,25,170,0,13356,15216,418,10,0,2790,0,3,142,0,0,131,4,2,10441,154,42,4989,230,0,15329,3,50,120,15.6,10.8,15.7,14.2,64.7,81,5.9,7.3,10.9,10.9,6.9,8.6,77.8,79.7,83.4,85.2,18.1,17.5,57.3,63.2,20.1,19.4,52.7,53.4,13.9,16.4,37.9,40.1,27.3,26.5,24.3,23.1,26.6,25.2,23.4,24.8,7.7,9.1,21.8,19.8,10.7,11.1,32.9,31.8,13.4,12.5,29,30.3,77.1,77.5,18.9,17.8,17.1,19.9,43.1,42.7,15.1,16.1,5.8,6.3,14.6,13.1,41,39.7,4.5,5.5,7.8,8.4
Ashe,West,3361,6869.41667,426.2638814,26759,0,17026,53,11823,537,6489,830,629,191,2113,343,2668,393,2917,515,7120,121,4523,82,4740,538,600,218,247,149,2160,24,386,118,2925,416,135,82,495,147,430,11,24.5,3.1,5.1,1.5,17.9,2.8,13,1.9,11,1.9,26.6,0.5,16.9,0.3,17.9,2,5,1.8,1,0.6,8.1,0.1,2.3,0.7,17.2,2.4,1.2,0.7,4.2,1.2,1.6,0,0.4242,0.4141,0.0202,0.5051,0.5051,1.8687,0.3131,0.899,0.101,0.6263,0.2323,0.3434,2.202,0.2424,0.0202,0.0202,0.0202,0.4646,0.4444,0.1313,0.2626,0.3838,1.6867,0.1616,5.7776,0.1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21382,2363,284,263,74,1406,0,117,44,63,47,8,16,289,109,14,22,20,2.3,1,0.3,5.3,0,0.4,0.2,0.2,0.2,0,0.1,1.1,0.4,0.1,0.1,7,10,2,2,1,35,13,13,0,1,67,586,7785,8438,0,0,0,0,0,0,0,12,0,0,1330,2601,225,316,0,8438,8039,30,41,0,1134,0,199,0,0,0,0,0,8438,113,5,6,8034,240,0,8176,258,22,22,12.1,8.4,19.2,15.3,59.3,82.2,7.4,11.1,10.2,9.9,6.3,9.5,73.3,78.4,82.8,87.8,16.8,15,59.6,67.6,17.4,16.2,61.2,63.3,9.6,13.4,32.2,35.7,21.3,20.4,13,12,13,12,17.8,19.8,7.8,10.8,12.3,10.1,8.6,8.9,31.9,29.4,8.3,7.3,24.1,26,72.7,73.8,18.1,15.4,12.7,17.1,33.9,33.8,13.3,15,3.7,4.5,7.8,6.4,33.9,32,3.2,4.6,5.2,5.9
Avery,West,2002,3952.25,247.3377659,17679,0,13915,65,6481,330,3796,501,353,108,1228,226,1777,270,2252,367,4007,67,2455,36,2926,337,310,109,148,134,2215,173,1119,137,1646,258,158,92,290,118,3028,101,25.8,3.4,5,1.5,18.9,3.4,13.1,2,14.6,2.4,22.7,0.4,13.9,0.2,19,2.2,4.8,1.7,0.9,0.8,12.5,1,8,1,11.8,1.9,2.4,1.4,4.5,1.8,17.1,0.6,0.5354,0.3636,0.0909,0.5152,0.9091,2.4142,0.4949,0.697,0.0101,0.7576,0.2121,0.3131,1.9899,0.1515,0.1111,0.1111,0.1111,0.8586,0.1818,0.6162,0.3434,0.9899,2.9899,0.7879,7.5051,0.4242,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,18452,1178,235,644,143,904,0,82,41,146,103,4,8,428,217,7,3,18.2,3.3,3.6,0.8,5.1,0,0.5,0.2,0.8,0.6,0,0.1,2.4,1.2,0,0.1,8,7,2,2,2,19,4,4,1,0,51,336,6688,7075,16,677,33,0,81,6,12,103,4,66,1190,1463,574,254,0,6180,5913,151,295,0,1168,0,39,0,0,0,0,2,0,77,3,16,6619,262,0,6799,360,0,14,13.1,8,19.9,17.2,60.1,79.8,7.5,10,9.9,9.8,6.7,8.9,74.4,77.7,83.5,86.3,15.9,14.9,59.7,66.1,17,15.8,60.9,62.6,10.1,12.5,32.5,34.9,21.8,21,13.9,13.1,14.1,13.2,17.4,18.6,8.2,10.2,12.6,11.2,8.1,8.3,31.3,29.9,8.4,7.8,22.6,23.7,73.4,75.2,17.7,16.1,12.6,15.4,33.1,32.6,13.2,14.2,3.8,4.2,7.9,7,33.8,32.1,3.3,4.3,5.1,5.5
Beaufort,East,5820,14861.6667,832.7356909,44711,0,24299,45,18972,511,12168,1118,1146,235,5432,594,4317,442,4996,649,10927,105,8748,34,7565,533,1325,288,422,239,15349,87,533,150,6240,496,280,165,1103,261,528,10,27.6,2.5,5.6,1.2,28.6,3,13.2,1.4,11.3,1.5,24.4,0.2,19.6,0.1,17.1,1.2,7,1.5,1,0.6,34.3,0.2,2.2,0.6,25.7,2,1.4,0.9,5.8,1.4,1.2,0,0.6263,0.5556,0.798,0.5354,0.596,3.1113,0.7576,0.798,0.3434,0.5152,0.6364,0.3434,2.6364,0.6465,0.5051,0.5051,0.5051,0.4444,0.8384,0.2121,0.596,0.2222,2.3131,0.3939,8.5659,0.6263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43553,3595,416,10344,306,3734,0,109,99,40,44,0,29,1047,328,75,72,18.9,2.1,23.1,0.7,8.4,0,0.2,0.2,0.1,0.1,0,0.1,2.3,0.7,0.2,0.2,6,5,2,2,2,80,22,10,7,5,154,683,17123,17960,106,920,113,5,156,9,24,11,8,276,3438,5667,133,242,25,16318,17747,10,11,0,4507,0,48,215,0,0,131,39,0,6904,27,14,10007,803,0,17093,1004,4,64,11,8.9,17.1,13.9,62.8,83.2,6.7,9.7,10.8,10.7,6.5,9.6,76.6,80.5,84.8,88.4,17,16,61.2,68.5,17.1,17.1,59,59.5,11.5,15.7,34,38.4,22.6,22,16.7,16,17.1,16.4,19.9,22.9,7.5,10.3,15.9,13.8,9.4,10.1,30.6,28.8,9.8,8.9,26.1,29,77.1,77.8,18.2,16.2,14.8,19.9,38.3,38.4,14,16.2,4.5,5.6,10.1,8.8,35.4,33.8,3.7,5.3,6.3,7.3
Bertie,East,2339,6860.33333,699.1761225,17818,0,9008,39,6984,336,5845,591,431,154,2299,375,2613,402,1957,356,4253,51,3038,20,3852,432,549,175,4,78,11748,72,33,39,2622,347,131,111,790,233,1522,79,35.8,3.6,6.4,2.3,32.9,5.1,19.5,3,11.9,2.2,23.9,0.3,17.1,0.1,23.5,2.6,7.9,2.5,0,0.5,65.9,0.4,0.4,0.4,29.1,3.8,1.9,1.6,11.3,3.3,8.5,0.4,0.9192,0.7172,0.9596,0.9596,0.697,4.2526,0.9798,0.7677,0.1111,0.9899,0.798,0,2.6667,0.6667,0.9798,0.9798,0.9798,0.0505,0.899,0.3939,0.9798,0.9192,3.2424,0.8687,11.1415,0.9192,1,0,1,1,0,3,0,0,1,0,0,1,1,1,0,0,0,1,1,2,7,16210,2470,344,10925,177,258,136,136,19,51,43,1,5,352,138,25,32,35.4,4.5,61.3,1,1.4,0.8,0.8,0.1,0.3,0.2,0,0.1,2,0.8,0.1,0.2,7,11,2,2,2,6,4,2,1,0,46,399,8550,8995,135,756,275,2,25,1,5,0,2,85,1481,3056,36,78,1,7708,8931,3,1,0,2443,0,24,90,0,0,375,10,0,6481,3,15,2402,53,0,8904,93,1,38,14.2,10.6,15.1,12.7,65.6,82.8,5.5,7.7,11.3,11.1,7.1,9.9,78.3,81.5,81.8,85.1,18.3,17.3,55.9,63.9,21,19.6,50.9,52.2,14.9,19,38.6,42.1,29.2,28,28.2,26.8,31.4,29.8,25.4,27.6,7.5,9.8,24.8,22.1,11.3,12.1,33.5,31.8,15.2,14.1,29.9,32.1,77.9,78.7,18.5,16.7,18.7,23.5,43.5,43.2,15.7,17.3,6.6,7.5,16.7,14.6,43.8,42,5,6.6,8.6,9.6
Bladen,South Central,4539,12261.9167,875.0312792,29807,0,15348,53,11386,422,10310,1018,635,203,3171,449,2525,407,2937,516,6801,72,6045,0,4379,542,755,241,440,253,13542,146,205,104,4681,408,163,108,896,249,458,8,35,3.5,5.5,1.8,27.8,3.8,11.8,1.9,10,1.7,22.8,0.2,20.3,0,14.8,1.8,6.6,2.1,1.5,0.9,45.4,0.5,1.4,0.7,30.5,2.7,1.4,0.9,7.9,2.2,1.5,0,0.8687,0.5253,0.7172,0.4444,0.2727,2.8283,0.6061,0.7071,0.4848,0.2222,0.5253,0.5859,2.5253,0.5657,0.7374,0.7374,0.7374,0.2828,0.9091,0.2121,0.8283,0.3232,2.5555,0.5758,8.6465,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,29385,2236,309,10050,138,2411,0,93,67,796,33,0,25,192,169,0,25,19.6,2.5,33.7,0.5,8.1,0,0.3,0.2,2.7,0.1,0,0.1,0.6,0.6,0,0.1,6,6,2,2,1,16,7,6,1,0,158,262,10778,11198,0,545,28,0,11,0,78,10,4,266,2498,1520,290,1657,301,9965,11027,32,2,0,2935,0,21,0,0,0,0,0,2,4980,194,61,5344,532,0,10306,600,19,360,13.2,8.8,16.3,13.6,64.1,83,6.3,8.7,10.6,10.6,6.7,9.5,77.4,80.7,83.7,87,16.7,16,58.2,64.3,17.7,17.4,56.4,56.9,12.7,16.8,34.5,38.5,26.2,25.5,22.8,22,25.2,24.2,20.9,23.7,7.6,10,20.2,17.9,9.7,10.5,33.1,31.4,12.9,11.9,28.2,30.9,77.5,78.1,18,16.3,15.8,20.6,38.6,38.6,14.2,16.1,5.1,6.1,13.2,11.7,38.2,36.7,4.1,5.6,6.8,7.9
Brunswick,East,20620,32107.0833,850.0686992,139721,0,90454,61,60915,851,22619,1737,2969,604,14213,926,7227,836,12137,1080,45749,84,20223,0,20661,1145,1957,413,598,200,25953,695,3650,447,16967,1047,893,254,1432,342,935,24,16.3,1.3,5,1,23.3,1.5,6.5,0.7,8.8,0.8,32.7,0.1,14.5,0,14.9,0.8,3.2,0.7,0.4,0.1,18.6,0.5,4,0.5,18.8,1.2,1.5,0.4,2.4,0.6,0.7,0,0.0606,0.3636,0.4545,0.0303,0.1212,1.0302,0.101,1,0.0202,0.2626,0.0303,0.0909,1.404,0.0202,0.2929,0.2929,0.2929,0.7071,0.5051,0.2727,0.0404,0.0404,1.5657,0.0909,4.2928,0.0101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123819,4403,566,11952,582,7114,0,833,133,327,117,44,68,5338,924,345,269,7.2,0.9,8.6,0.4,5.1,0,0.6,0.1,0.2,0.1,0,0.1,3.8,0.7,0.2,0.2,2,2,2,0,0,211,46,24,20,7,348,1378,34902,36628,47,1044,131,20,315,26,11,64,19,243,6356,7222,1079,1758,0,34772,34807,378,48,9756,5976,118,252,0,0,0,0,205,18,4359,167,99,30711,1360,0,35026,1139,153,242,9.7,5.4,19.2,14.2,61.1,85.2,7.2,11.7,10,9.8,5.8,9.9,76,81.8,86,90.8,14.1,12.6,65.3,75.2,13.9,13.5,65.8,67,9.2,14.2,29.1,34.5,21.2,18.8,12.3,9.9,11.4,8.9,14.8,18,7.1,10.8,12.5,9,7.1,7.7,29.1,25.4,7.6,5.9,19.8,23.2,79,79.4,16.9,13.9,11.3,17,30.9,31.1,11.6,14.1,3.1,4,7.7,5.6,36.3,33.9,3,4.8,4.3,5.3
