Feature,Coefficient,Model
AVG_MA_Enrollments_2023_FY,663.2900321317222,Linear
AVG_MC_Enrollees,973.5958789945312,Linear
AREA_SQMI,-824.5677627748045,Linear
E_TOTPOP,1023.3730126298477,Linear
M_TOTPOP,2.7284841053187847e-12,Linear
E_HU,1061.802670081559,Linear
M_HU,363.3694882365792,Linear
E_HH,1052.5381342521375,Linear
M_HH,1094.9713412649796,Linear
E_POV150,921.5625818520246,Linear
M_POV150,900.225402147195,Linear
E_UNEMP,988.2249527069089,Linear
M_UNEMP,630.2420078607684,Linear
E_HBURD,1073.250706573451,Linear
M_HBURD,807.5179118822887,Linear
E_NOHSDP,1013.3834443388981,Linear
M_NOHSDP,891.740124700792,Linear
E_UNINSUR,1150.3095282733339,Linear
M_UNINSUR,891.6388831512147,Linear
E_AGE65,835.1714239088845,Linear
M_AGE65,-744.4262461625862,Linear
E_AGE17,1028.8478347248106,Linear
M_AGE17,1046.6536098837219,Linear
E_DISABL,782.3269427982539,Linear
M_DISABL,840.6494513403487,Linear
E_SNGPNT,1038.451563342457,Linear
M_SNGPNT,919.8391940738958,Linear
E_LIMENG,1190.5254878606504,Linear
M_LIMENG,841.1517259954501,Linear
E_MINRTY,1044.9310870706045,Linear
M_MINRTY,551.3715233507771,Linear
E_MUNIT,1305.5248997700462,Linear
M_MUNIT,950.5289574870831,Linear
E_MOBILE,-85.84657810025632,Linear
M_MOBILE,-197.04774410485743,Linear
E_CROWD,932.5435214093035,Linear
M_CROWD,673.8025862026495,Linear
E_NOVEH,1003.3659150598228,Linear
M_NOVEH,566.0844853205689,Linear
E_GROUPQ,-52.79417611971994,Linear
M_GROUPQ,-37.95042999997522,Linear
EP_POV150,125.50740560206354,Linear
MP_POV150,7.47034021569968,Linear
EP_UNEMP,13.804418273973825,Linear
MP_UNEMP,-59.67372541915409,Linear
EP_HBURD,509.51473833800355,Linear
MP_HBURD,-236.18837626825947,Linear
EP_NOHSDP,-0.812217693174952,Linear
MP_NOHSDP,-19.700497512904818,Linear
EP_UNINSUR,312.1990035589628,Linear
MP_UNINSUR,7.440249850258948,Linear
EP_AGE65,-426.4220280197606,Linear
MP_AGE65,450.71054808062746,Linear
EP_AGE17,-173.04697877127953,Linear
MP_AGE17,670.0546429063752,Linear
EP_DISABL,-327.8688238056263,Linear
MP_DISABL,-113.69171648326844,Linear
EP_SNGPNT,595.9106791564302,Linear
MP_SNGPNT,-16.69346088356238,Linear
EP_LIMENG,-325.2423173459162,Linear
MP_LIMENG,205.82814141946082,Linear
EP_MINRTY,322.22059949139947,Linear
MP_MINRTY,-97.8920588081343,Linear
EP_MUNIT,1004.9425513440259,Linear
MP_MUNIT,-318.86442223444453,Linear
EP_MOBILE,-129.84774205176458,Linear
MP_MOBILE,-152.56796658371877,Linear
EP_CROWD,-98.04552072438737,Linear
MP_CROWD,-227.59076054351792,Linear
EP_NOVEH,401.8199949278833,Linear
MP_NOVEH,-61.804791215822526,Linear
EP_GROUPQ,-302.0271920514915,Linear
MP_GROUPQ,62.38287469494493,Linear
EPL_POV150,-86.43518980787763,Linear
EPL_UNEMP,-325.13678782070184,Linear
EPL_HBURD,551.5912750516225,Linear
EPL_NOHSDP,-27.63368845270317,Linear
EPL_UNINSUR,510.34966011202545,Linear
SPL_THEME1,172.73294772073143,Linear
RPL_THEME1,-15.586160113353337,Linear
EPL_AGE65,-164.40248375172604,Linear
EPL_AGE17,-16.718992220593115,Linear
EPL_DISABL,-138.66827698285454,Linear
EPL_SNGPNT,633.4367333364653,Linear
EPL_LIMENG,-764.0677625058473,Linear
SPL_THEME2,-320.35744899801625,Linear
RPL_THEME2,-229.82455474597472,Linear
EPL_MINRTY,273.13028740314587,Linear
SPL_THEME3,273.13028740314587,Linear
RPL_THEME3,273.13028740314587,Linear
EPL_MUNIT,172.01306335669057,Linear
EPL_MOBILE,20.316729498114473,Linear
EPL_CROWD,-323.4674866464953,Linear
EPL_NOVEH,390.3833951629858,Linear
EPL_GROUPQ,-515.2973823047148,Linear
SPL_THEME4,-57.10818098502493,Linear
RPL_THEME4,-246.82301979055936,Linear
SPL_THEMES,31.10169090041219,Linear
RPL_THEMES,7.415620095459359,Linear
F_POV150,314.1507302456869,Linear
F_UNEMP,314.1507302456869,Linear
F_HBURD,0.0,Linear
F_NOHSDP,0.0,Linear
F_UNINSUR,0.0,Linear
F_THEME1,314.1507302456869,Linear
F_AGE65,0.0,Linear
F_AGE17,-198.96300469058448,Linear
F_DISABL,0.0,Linear
F_SNGPNT,314.1507302456869,Linear
F_LIMENG,369.91695897749383,Linear
F_THEME2,343.53785055707544,Linear
F_MINRTY,0.0,Linear
F_THEME3,0.0,Linear
F_MUNIT,534.5466236715927,Linear
F_MOBILE,0.0,Linear
F_CROWD,-370.4290956157999,Linear
F_NOVEH,314.1507302456869,Linear
F_GROUPQ,0.0,Linear
F_THEME4,270.5283325678469,Linear
F_TOTAL,388.2338389346922,Linear
E_DAYPOP,1055.14959728974,Linear
E_NOINT,749.3309172589892,Linear
M_NOINT,374.9174007480942,Linear
E_AFAM,971.0898941596352,Linear
M_AFAM,940.5188239282696,Linear
E_HISP,1184.2521722949195,Linear
M_HISP,0.0,Linear
E_ASIAN,1088.109480107152,Linear
