Feature,Coefficient,Model
AVG_MA_Enrollments_2023_FY,613.5231014929855,Linear
AVG_MC_Enrollees,581.7274876158144,Linear
AREA_SQMI,-1388.246017953065,Linear
E_TOTPOP,527.9395914383159,Linear
M_TOTPOP,-2.0463630789890885e-12,Linear
E_HU,607.5230003479094,Linear
M_HU,-2.177013081843711,Linear
E_HH,542.779543523294,Linear
M_HH,645.4256101599401,Linear
E_POV150,421.10989095946275,Linear
M_POV150,36.03292547261731,Linear
E_UNEMP,800.8518841648684,Linear
M_UNEMP,461.32150483275746,Linear
E_HBURD,635.7647524897061,Linear
M_HBURD,755.9028897823359,Linear
E_NOHSDP,280.16944611229076,Linear
M_NOHSDP,-397.96006577438766,Linear
E_UNINSUR,243.74038835852275,Linear
M_UNINSUR,-968.3061846783953,Linear
E_AGE65,560.5555195817976,Linear
M_AGE65,711.5809493983496,Linear
E_AGE17,523.3535384788443,Linear
M_AGE17,902.7108505842698,Linear
E_DISABL,94.9623216795635,Linear
M_DISABL,-367.03601034189364,Linear
E_SNGPNT,693.8014450436763,Linear
M_SNGPNT,-368.8473933701294,Linear
E_LIMENG,323.70595735143775,Linear
M_LIMENG,65.53108588395116,Linear
E_MINRTY,470.65598526000446,Linear
M_MINRTY,615.2697687223372,Linear
E_MUNIT,963.9862351625984,Linear
M_MUNIT,651.9572905994279,Linear
E_MOBILE,-174.8054852034535,Linear
M_MOBILE,-122.40839489334917,Linear
E_CROWD,531.1845123228709,Linear
M_CROWD,318.6398237947797,Linear
E_NOVEH,564.355654407617,Linear
M_NOVEH,388.5075601777946,Linear
E_GROUPQ,-531.8386254162423,Linear
M_GROUPQ,-163.9833249529022,Linear
EP_POV150,-525.9199466050892,Linear
MP_POV150,-8.436107369427674,Linear
EP_UNEMP,-315.72802900552153,Linear
MP_UNEMP,-442.7190390393296,Linear
EP_HBURD,-150.85673942863264,Linear
MP_HBURD,634.3280450240738,Linear
EP_NOHSDP,-143.22100288288897,Linear
MP_NOHSDP,105.2150811756569,Linear
EP_UNINSUR,-1103.4856499249604,Linear
MP_UNINSUR,-120.5207005224957,Linear
EP_AGE65,-171.71324041857412,Linear
MP_AGE65,-433.32024600461386,Linear
EP_AGE17,601.5373794447556,Linear
MP_AGE17,-615.6212460689487,Linear
EP_DISABL,29.376460498808513,Linear
MP_DISABL,-49.33568549266204,Linear
EP_SNGPNT,31.85714791773529,Linear
