Region,Model,Alpha,R2,RMSE
East,Linear,,0.3646391592851932,12217.921166129838
East,Ridge,0.001,0.3646375325997524,12217.936806613545
East,Lasso,0.1,0.41427788084049677,11730.942576606738
North Central,Linear,,-13.82135330538575,150384.807646141
North Central,Ridge,0.001,-13.82129849717798,150384.5295902431
North Central,Lasso,0.1,0.9824761449161235,5171.003851155884
Piedmont,Linear,,0.36006999640104775,16662.09219495605
Piedmont,Ridge,0.001,0.36007011119136256,16662.09070053722
Piedmont,Lasso,0.1,-5.49989479808134,53102.68254484994
South Central,Linear,,0.4327411906053178,15327.67837261568
South Central,Ridge,0.001,0.432741759571014,15327.670685714005
South Central,Lasso,0.1,0.7029307251747073,11092.121608618972
West,Linear,,0.8772055186018377,10243.652102985521
West,Ridge,0.001,0.8772044204629821,10243.697906864978
West,Lasso,0.1,0.7044650017718139,15891.681604724778
