County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Lenoir,East,28920.0,15.97059,1810.8284158050258,1093.4992706258895,1.2174,2.384090328247906e-06,35.12767648664638,98.07567165566608,44.401116842134265,31624,55071,22644.0,6276,1.0,40.4,13.6,19.2,28.5,7.0
Chowan,East,5832.0,1.24515,4683.769277782374,2530.6922958346545,0.7091,6.222136749104809e-06,81.29620443591672,50.822720089244214,44.039643582432554,14759,13835,4337.0,1495,0.5051,39.4,12.2,17.7,26.0,6.7
Hertford,East,10482.25,2.59596,4037.9073491473873,1473.5384603936693,1.072,5.359310752102163e-06,47.33609222959302,84.5588918843544,43.964996491086055,15446,21633,8011.25,2471,0.8384,43.4,15.0,20.7,30.6,7.1
Bertie,East,9199.333330000001,0.71272,12907.34148425541,977.7881395903131,1.1520000000000001,1.7208249373779156e-05,31.410560905403077,91.99590964023429,41.135495917962245,8995,17818,6860.33333,2339,0.9192,43.5,14.9,21.0,29.9,7.1
Halifax,East,27026.5,10.72984,2518.8164484450426,704.308707960383,1.185,3.3299124196964978e-06,22.62528115432515,95.06367946453473,39.22965464959076,19035,48772,20347.5,6679,0.9596,41.2,14.5,20.0,29.8,7.2
Sampson,East,30167.3333,13.04974,2311.7189299006013,860.5334412991207,1.1283,3.053244737344425e-06,27.64385962012943,89.79269313005487,39.14551860114301,25960,59317,23291.3333,6876,0.9091,38.5,13.3,19.7,30.9,7.2
Pasquotank,East,15419.75,8.0908,1905.8372588820318,2046.5959534625429,0.7119,2.511015443535689e-06,65.74504664366412,51.08301571070002,38.94268828845986,31558,40454,12211.75,3208,0.5253,36.0,11.4,16.1,23.9,5.9
Wayne,East,53759.0,63.4392,847.4097900444868,917.3719578606009,1.0873,1.0970309747733798e-06,29.469745631566614,85.98122153016641,38.48365608625466,49317,117480,41950.0,11809,0.8889,39.1,12.2,16.0,25.5,6.4
Wilson,East,37850.1667,22.81343,1659.1176794056098,858.939391172103,1.0897000000000001,2.1814154815256573e-06,27.59265219944837,86.20433206284282,37.93232881456889,32511,78667,29389.1667,8461,0.8687,39.2,13.7,20.8,30.0,6.8
Duplin,East,25170.8333,5.42432,4640.365734255034,917.4507179525631,1.0684,6.1641526753313734e-06,29.47227572838956,84.2242260853398,37.89883599262734,23093,49312,20185.8333,4985,0.8586,39.4,12.6,17.9,28.4,6.6
Nash,East,41875.0833,44.65705,937.7037301455487,1203.9139942698575,0.9591000000000001,1.2176573121325928e-06,38.67464976382814,74.06340057636889,37.57935051928478,50414,95015,31310.0833,10565,0.7475,42.1,12.2,18.1,27.2,6.2
Martin,East,10767.916669999999,1.75936,6120.35657832588,883.8291944332819,1.0118,8.141316089018057e-06,28.392214650253234,78.96253602305477,35.784919604874695,9517,21992,7900.91667,2867,0.798,38.5,13.3,19.7,28.4,7.0
Edgecombe,East,31325.0,8.83206,3546.7372791016733,631.923363705559,1.0964,4.7031421708688155e-06,20.29996734419102,86.82718229989776,35.70905144907698,19795,49067,24860.0,6465,0.8788,40.5,14.3,18.9,28.6,6.5
Pitt,East,69949.5833,320.13652,218.49922989573562,964.5947245464903,0.922,2.56850810829213e-07,30.986734362612438,70.6144835920796,33.86707273718095,67473,171196,55632.5833,14317,0.7374,37.3,11.6,13.6,23.7,6.1
Greene,East,8162.58333,0.61221,13332.957640421357,0.0,1.1937,1.7776842548268408e-05,0.0,95.87245514548665,31.957490974109735,0,20407,6231.58333,1931,0.9697,41.2,13.8,20.4,29.5,7.1
Craven,East,33350.5833,66.72468,499.82379533594167,1287.7735398476964,0.7171,6.326805940930982e-07,41.36856192866151,51.5664218648322,30.978328142058103,42948,101098,26628.5833,6722,0.5253,36.1,11.6,17.4,24.5,6.3
Washington,East,5803.08333,0.55255,10502.348796762652,440.2831071731125,0.9911000000000001,1.3995348719059245e-05,14.143697180941109,77.03820767872085,30.393972951670225,2555,11051,4307.08333,1496,0.7677,41.0,13.8,20.1,30.0,6.8
Beaufort,East,20681.6667,9.83642,2102.5601384893957,868.401922926167,0.8252999999999999,2.773823339782479e-06,27.896627486062986,61.62498837965976,29.840539546515362,17960,44711,14861.6667,5820,0.6263,38.3,11.5,17.1,26.1,6.5
