County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Jackson,West,14132.3333,10.597,1333.6163033295932,2000.2357289269614,0.7906,1.7465685941543982e-06,64.25576630020117,58.399181928046865,40.88498332493888,28268,42388,10271.3333,3861,0.6162,32.4,10.1,16.1,22.2,6.4
Cleveland,West,49809.1667,42.79661,1163.8577339687015,1509.7622279683264,0.9238,1.5197831151463392e-06,48.49974804781931,70.78181649158688,39.76052201972977,75200,99527,37134.1667,12675,0.7172,37.8,11.3,20.6,27.2,6.4
Swain,West,7411.08333,1.2717,5827.69324707616,965.9854997224137,1.0268000000000002,7.750338514127793e-06,31.0314117590752,80.35697685228226,37.12946545389866,7159,14130,6025.08333,1386,0.8182,36.8,12.0,21.3,27.0,7.2
Surry,West,33525.5,25.00015,1341.0119002881222,1091.4080001369705,0.8725999999999999,1.756448590228263e-06,35.0604963108985,66.02212512782376,33.694207731723615,36590,71429,21950.5,11575,0.6768,35.3,11.1,18.7,25.7,7.1
Mitchell,West,6283.25,0.89934,6986.504562785417,2021.8832575684148,0.5007999999999999,9.298428724256686e-06,64.95117360707313,31.45858510737194,32.1365893376246,12704,14989,4082.25,2201,0.3232,34.1,9.5,16.4,22.6,6.2
Alleghany,West,4903.25,1.0989,4461.957901576212,1002.6001116402158,0.7789999999999999,5.925812390389165e-06,32.20762309883813,57.32081435344427,29.842814459364927,4916,10989,3202.25,1701,0.5758,36.6,11.1,19.6,27.2,7.1
Rutherford,West,30037.1667,16.8168,1786.1403426252114,591.5670937243527,0.857,2.351108803233004e-06,19.003558618379827,64.57190666542716,27.8584892116386,17769,64680,21714.1667,8323,0.6566,36.7,11.0,19.8,25.9,6.8
Wilkes,West,31706.25,15.87,1997.873220045796,775.0206733681632,0.749,2.6339689982049583e-06,24.896839180292275,54.531932694989315,26.476258169750196,24573,66125,20281.25,11425,0.5556,35.2,10.6,18.8,25.3,6.8
Avery,West,5954.25,0.70716,8419.93548852383,1188.2266971949955,0.6032000000000001,1.121339136998597e-05,38.17070951311333,40.977967834898216,26.382896187134303,7075,17679,3952.25,2002,0.4242,33.1,10.1,17.0,22.6,6.7
Burke,West,39520.6667,39.50955,1000.2813420987752,940.9000951671675,0.6658000000000001,1.3012565893615536e-06,30.22556579335365,46.79743422887424,25.674333774494826,37185,87799,27082.6667,12438,0.4848,32.0,10.4,17.3,24.4,6.4
Catawba,West,62075.0833,151.35034,410.1416811475833,1024.5495550619817,0.6153000000000001,5.128716130134791e-07,32.912729145356494,42.10281677047505,25.005182142901052,63599,161011,42909.0833,19166,0.4343,34.1,10.1,17.0,23.3,6.0
Macon,West,14374.66667,7.4176,1937.9131703093763,1380.5536556101822,0.4758,2.5538665995336272e-06,44.34903935415878,29.134517058659483,24.49451965556162,19845,37088,9692.66667,4682,0.303,31.3,10.0,15.7,22.8,6.6
Watauga,West,10717.416669999999,21.816,491.26403459552455,1547.3876740309965,0.3821,6.212453572916912e-07,49.70843152156204,20.423910012085152,23.37744738496418,16584,54540,6450.41667,4267,0.2121,33.7,9.9,14.3,20.6,6.5
Gaston,West,96873.9167,247.28976,391.742530334687,803.7354310488467,0.5506,4.882916448495538e-07,25.819274837356915,36.08812866040718,20.635801328685247,77861,228972,70628.9167,26245,0.3636,36.5,10.9,16.8,22.9,6.4
Caldwell,West,38970.1667,29.05776,1341.1276491674635,521.2961913941161,0.6445000000000001,1.7566032225696223e-06,16.74616934543738,44.817328251371215,20.521166451137272,20315,80716,27152.1667,11818,0.4545,35.0,10.5,18.4,24.5,6.6
