County,Region,Public_Enrollees,PCP_Count,Availability_Gap,Avoidable_Util_Burden,Risk_Index_raw,Availability_Gap_Score,Util_Burden_Score,Risk_Index_Score,Composite_Need_Score,Total_ED,E_TOTPOP,AVG_MC_Enrollees,AVG_MA_Enrollments_2023_FY,RPL_THEMES,OBESITY_age-adjusted_prevalence,DIABETES_age-adjusted_prevalence,CSMOKING_age-adjusted_prevalence,LPA_age-adjusted_prevalence,CHD_age-adjusted_prevalence
Hoke,Piedmont,22890.6667,5.78732,3955.3131232914156,3112.927981563421,0.9744,5.248970690068384e-06,100.0,75.48573022218092,58.49524515705053,71257,52612,18764.6667,4126,0.7778,35.6,13.0,16.6,26.6,6.5
Scotland,Piedmont,20135.6667,6.15996,3268.7977569987866,2122.502250074379,1.2102,4.3318345668245535e-06,68.18346786835667,97.40634005763688,55.1966040859427,42738,34222,15644.6667,4491,0.9798,41.1,14.8,21.3,30.3,7.7
Alamance,Piedmont,74854.25,0.0,74854250000.0,593.0992482978689,0.6115,100.0,19.052777700304965,41.74955842707075,53.600778709125244,44396,171779,51584.25,23270,0.4141,38.0,11.3,17.3,25.8,6.3
Lenoir,East,28920.0,15.97059,1810.8284158050258,1093.4992706258895,1.2174,2.384090328247906e-06,35.12767648664638,98.07567165566608,44.401116842134265,31624,55071,22644.0,6276,1.0,40.4,13.6,19.2,28.5,7.0
Chowan,East,5832.0,1.24515,4683.769277782374,2530.6922958346545,0.7091,6.222136749104809e-06,81.29620443591672,50.822720089244214,44.039643582432554,14759,13835,4337.0,1495,0.5051,39.4,12.2,17.7,26.0,6.7
Hertford,East,10482.25,2.59596,4037.9073491473873,1473.5384603936693,1.072,5.359310752102163e-06,47.33609222959302,84.5588918843544,43.964996491086055,15446,21633,8011.25,2471,0.8384,43.4,15.0,20.7,30.6,7.1
Anson,Piedmont,12382.41667,2.22,5577.662654206011,1266.2309104616077,1.125,7.416315271682933e-06,40.67652441562951,89.4859161476248,43.38748265985652,15679,22200,9423.41667,2959,0.899,43.1,13.9,20.1,29.0,6.9
Richmond,Piedmont,26450.25,3.88341,6811.08695422658,1080.292205922734,1.1524,9.064083167898404e-06,34.70341146087721,92.03309472901368,42.24550508465802,28574,43149,21014.25,5436,0.9394,39.8,12.8,19.2,27.8,6.9
Bertie,East,9199.333330000001,0.71272,12907.34148425541,977.7881395903131,1.1520000000000001,1.7208249373779156e-05,31.410560905403077,91.99590964023429,41.135495917962245,8995,17818,6860.33333,2339,0.9192,43.5,14.9,21.0,29.9,7.1
Jackson,West,14132.3333,10.597,1333.6163033295932,2000.2357289269614,0.7906,1.7465685941543982e-06,64.25576630020117,58.399181928046865,40.88498332493888,28268,42388,10271.3333,3861,0.6162,32.4,10.1,16.1,22.2,6.4
Cleveland,West,49809.1667,42.79661,1163.8577339687015,1509.7622279683264,0.9238,1.5197831151463392e-06,48.49974804781931,70.78181649158688,39.76052201972977,75200,99527,37134.1667,12675,0.7172,37.8,11.3,20.6,27.2,6.4
Halifax,East,27026.5,10.72984,2518.8164484450426,704.308707960383,1.185,3.3299124196964978e-06,22.62528115432515,95.06367946453473,39.22965464959076,19035,48772,20347.5,6679,0.9596,41.2,14.5,20.0,29.8,7.2
Sampson,East,30167.3333,13.04974,2311.7189299006013,860.5334412991207,1.1283,3.053244737344425e-06,27.64385962012943,89.79269313005487,39.14551860114301,25960,59317,23291.3333,6876,0.9091,38.5,13.3,19.7,30.9,7.2
Pasquotank,East,15419.75,8.0908,1905.8372588820318,2046.5959534625429,0.7119,2.511015443535689e-06,65.74504664366412,51.08301571070002,38.94268828845986,31558,40454,12211.75,3208,0.5253,36.0,11.4,16.1,23.9,5.9
Robeson,South Central,79517.6667,63.48942,1252.45537677844,511.98684742107946,1.2381,1.6381433189300801e-06,16.447115077938353,100.0,38.81570557202722,40712,117573,64633.6667,14884,0.9899,41.9,15.6,25.0,33.1,8.5
Vance,North Central,27602.1667,6.3738,4330.566125299488,745.3037827894944,1.1469,5.750282241703185e-06,23.942210908945505,91.52179975829694,38.48800547250823,20572,42492,21644.1667,5958,0.9293,41.2,13.6,19.1,28.5,6.4
