FIPS,County,State,RUCC_2013,UIC_2013,HPSA_PrimaryCare_2023,HPSA_Dental_2023,HPSA_Mental_2023,MDs_All_2021,MDs_PrimaryCare_perCap_2021,MDs_FamilyMed_2021,MDs_InternalMed_2021,MDs_Pediatrics_2021
01001,Autauga,Alabama,02,2,1,2,1,49,24,14,9,1
01003,Baldwin,Alabama,03,2,0,0,1,585,136,80,51,26
01005,Barbour,Alabama,06,6,1,0,1,11,7,4,2,1
01007,Bibb,Alabama,01,1,1,2,2,27,14,24,1,0
01009,Blount,Alabama,01,1,1,0,2,20,12,9,2,2
01011,Bullock,Alabama,06,6,1,2,1,5,2,0,1,1
01013,Butler,Alabama,06,6,1,2,1,19,5,3,2,1
01015,Calhoun,Alabama,03,2,2,0,1,219,63,27,27,13
01017,Chambers,Alabama,06,5,1,2,2,29,14,4,9,1
01019,Cherokee,Alabama,06,6,1,2,1,14,8,5,3,0
01021,Chilton,Alabama,01,1,2,2,1,23,10,4,5,1
01023,Choctaw,Alabama,09,10,1,2,1,5,5,4,0,0
01025,Clarke,Alabama,07,11,1,2,1,13,8,8,1,0
01027,Clay,Alabama,09,10,2,2,1,7,4,3,0,0
01029,Cleburne,Alabama,08,4,1,2,1,5,3,3,2,0
01031,Coffee,Alabama,04,5,2,0,1,63,23,8,9,6
01033,Colbert,Alabama,03,2,2,0,1,99,31,9,21,5
01035,Conecuh,Alabama,07,11,2,2,1,10,5,3,3,0
01037,Coosa,Alabama,08,3,1,2,1,1,0,0,0,0
01039,Covington,Alabama,06,6,2,0,1,48,16,10,4,3
01041,Crenshaw,Alabama,08,6,1,2,1,6,3,2,1,0
01043,Cullman,Alabama,04,3,2,0,2,113,37,19,14,6
01045,Dale,Alabama,04,5,0,0,1,40,12,7,3,3
01047,Dallas,Alabama,04,5,1,2,1,85,26,30,6,4
01049,DeKalb,Alabama,06,6,1,2,1,59,26,13,5,8
01051,Elmore,Alabama,02,2,1,1,1,42,17,14,6,3
01053,Escambia,Alabama,06,6,1,2,1,34,8,7,2,0
01055,Etowah,Alabama,03,2,2,2,1,240,70,37,23,19
01057,Fayette,Alabama,06,6,1,2,2,31,14,6,6,1
01059,Franklin,Alabama,06,6,2,2,1,27,12,8,2,2
01061,Geneva,Alabama,03,2,1,2,1,12,8,8,0,0
01063,Greene,Alabama,08,6,1,2,1,8,3,0,3,0
01065,Hale,Alabama,03,2,1,2,1,10,3,2,1,0
01067,Henry,Alabama,03,2,0,0,1,7,4,2,1,1
01069,Houston,Alabama,03,2,0,0,1,418,81,22,46,22
01071,Jackson,Alabama,06,5,2,2,2,58,26,21,5,3
01073,Jefferson,Alabama,01,1,2,2,2,4993,705,194,439,304
01075,Lamar,Alabama,08,7,1,2,2,2,0,1,0,0
01077,Lauderdale,Alabama,03,2,2,0,1,205,49,20,30,10
01079,Lawrence,Alabama,03,2,2,2,2,10,6,4,0,2
01081,Lee,Alabama,03,2,2,0,2,254,69,34,24,16
01083,Limestone,Alabama,02,2,2,0,2,101,32,16,11,8
01085,Lowndes,Alabama,02,2,1,2,1,1,1,1,0,0
01087,Macon,Alabama,06,6,1,2,1,15,6,5,1,0
01089,Madison,Alabama,02,2,2,2,2,1249,325,165,133,67
01091,Marengo,Alabama,07,11,1,2,1,16,8,7,2,0
01093,Marion,Alabama,07,11,2,2,2,9,4,2,1,1
01095,Marshall,Alabama,04,5,2,0,2,122,51,35,9,9
01097,Mobile,Alabama,02,2,2,2,2,1506,276,79,171,88
01099,Monroe,Alabama,07,11,1,2,1,18,9,7,3,0
01101,Montgomery,Alabama,02,2,2,2,1,739,199,88,93,44
01103,Morgan,Alabama,03,2,2,0,2,185,60,31,26,7
01105,Perry,Alabama,08,4,1,2,1,3,3,3,0,0
01107,Pickens,Alabama,03,2,1,2,2,10,7,7,0,0
01109,Pike,Alabama,06,5,2,2,1,30,12,6,2,4
01111,Randolph,Alabama,06,4,1,2,1,9,4,3,1,0
01113,Russell,Alabama,02,2,1,0,2,32,9,7,0,4
01115,St. Clair,Alabama,01,1,2,0,2,35,16,8,7,3
01117,Shelby,Alabama,01,1,0,0,1,691,162,61,84,32
01119,Sumter,Alabama,08,6,1,2,1,8,6,3,2,0
01121,Talladega,Alabama,04,3,2,2,1,62,20,10,10,3
01123,Tallapoosa,Alabama,06,6,2,2,2,68,19,10,6,4
01125,Tuscaloosa,Alabama,03,2,2,2,2,579,137,114,39,22
01127,Walker,Alabama,01,1,2,2,2,90,28,14,11,3
01129,Washington,Alabama,08,7,1,2,2,5,1,1,0,0
01131,Wilcox,Alabama,09,10,1,2,1,2,1,1,1,0
01133,Winston,Alabama,06,4,1,2,2,15,7,4,3,1
02013,Aleutians East (B),Alaska,09,12,1,1,1,0,0,0,0,0
02016,Aleutians West (CA),Alaska,09,11,1,1,1,2,2,2,0,0
02020,Anchorage (B),Alaska,02,2,2,2,2,1296,291,184,79,79
02050,Bethel (CA),Alaska,07,11,1,1,1,18,14,12,0,3
02060,Bristol Bay (B),Alaska,09,12,1,1,1,0,0,0,0,0
02063,Chugach (CA),Alaska,,,,,,11,11,10,1,0
02066,Copper River (CA),Alaska,,,,,,2,1,1,0,0
02068,Denali (B),Alaska,08,7,1,1,1,1,1,1,0,0
02070,Dillingham (CA),Alaska,09,12,2,2,1,11,10,9,0,1
02090,Fairbanks North Star (B),Alaska,03,2,2,2,2,233,63,34,18,18
02100,Haines (B),Alaska,09,12,2,2,1,10,6,5,0,0
02105,Hoonah-Angoon (CA),Alaska,09,10,1,1,1,0,0,0,0,0
02110,Juneau (B),Alaska,05,8,2,2,2,97,39,32,5,3
02122,Kenai Peninsula (B),Alaska,07,11,2,1,1,120,39,24,12,4
02130,Ketchikan Gateway (B),Alaska,07,8,1,1,1,45,17,10,4,3
02150,Kodiak Island (B),Alaska,07,11,2,2,2,27,17,15,2,0
02158,Kusilvak (CA),Alaska,09,12,1,1,1,0,0,0,0,0
02164,Lake and Peninsula (B),Alaska,09,12,2,1,1,0,0,0,0,0
02170,Matanuska-Susitna (B),Alaska,02,2,2,1,1,131,39,30,6,6
02180,Nome (CA),Alaska,07,11,1,1,1,12,8,7,0,0
02185,North Slope (B),Alaska,07,11,1,1,1,6,4,3,1,0
02188,Northwest Arctic (B),Alaska,07,11,1,1,1,6,5,5,0,0
02195,Petersburg (B),Alaska,09,11,1,1,1,4,2,2,0,0
02198,Prince of Wales-Hyde,Alaska,09,10,1,1,1,10,9,8,0,1
02201,Pr of Wales-OutrKetch(CA),Alaska,,,,,,,,,,
02220,Sitka (B),Alaska,07,11,2,1,2,35,18,14,5,1
02230,Skagway Municipality (B),Alaska,09,12,1,1,1,0,0,0,0,0
02232,Skagway-Hoonah-Angoon(CA),Alaska,,,,,,,,,,
02240,Southeast Fairbanks (CA),Alaska,09,12,1,1,1,5,3,3,0,0
02261,Valdez-Cordova (CA),Alaska,09,11,2,1,1,,,,,
