Feature,Coefficient,Model
AVG_MA_Enrollments_2023_FY,171.6915151710486,Linear
AVG_MC_Enrollees,150.74651604629568,Linear
AREA_SQMI,-280.81465908090377,Linear
E_TOTPOP,227.25184188056878,Linear
M_TOTPOP,-5.684341886080801e-13,Linear
E_HU,160.72036960955225,Linear
M_HU,220.45500669644665,Linear
E_HH,227.4822299159838,Linear
M_HH,56.85117566464366,Linear
E_POV150,179.07587805739945,Linear
M_POV150,265.69440178185675,Linear
E_UNEMP,176.99478357110348,Linear
M_UNEMP,267.9389633215736,Linear
E_HBURD,247.1521250620319,Linear
M_HBURD,226.33941001742787,Linear
E_NOHSDP,214.52374143838088,Linear
M_NOHSDP,369.6631574400741,Linear
E_UNINSUR,251.7939027310153,Linear
M_UNINSUR,250.88366973849367,Linear
E_AGE65,171.6828323076271,Linear
M_AGE65,85.7082217516404,Linear
E_AGE17,220.56988789772032,Linear
M_AGE17,157.4872380014574,Linear
E_DISABL,214.5070876289246,Linear
M_DISABL,294.863017389244,Linear
E_SNGPNT,160.81177442315735,Linear
M_SNGPNT,244.53874180668097,Linear
E_LIMENG,42.769614604696855,Linear
M_LIMENG,206.54682457562325,Linear
E_MINRTY,157.86016459569356,Linear
M_MINRTY,2.898109108582605,Linear
E_MUNIT,271.8293578391114,Linear
M_MUNIT,229.7918374181533,Linear
E_MOBILE,-97.3352219885283,Linear
M_MOBILE,-36.36946226903841,Linear
E_CROWD,36.93432370927916,Linear
M_CROWD,179.97236907938918,Linear
E_NOVEH,222.08237359254593,Linear
M_NOVEH,294.6155652531339,Linear
E_GROUPQ,227.49025519428332,Linear
M_GROUPQ,106.19437137773754,Linear
EP_POV150,-1.521263640364204,Linear
MP_POV150,-57.485005942057015,Linear
EP_UNEMP,-189.91931607054013,Linear
MP_UNEMP,-77.25569498048138,Linear
EP_HBURD,103.66868302782112,Linear
MP_HBURD,-87.6099527527884,Linear
EP_NOHSDP,-14.784255369638535,Linear
MP_NOHSDP,-9.822503428353219,Linear
EP_UNINSUR,7.62956499430807,Linear
MP_UNINSUR,-120.28913008608185,Linear
EP_AGE65,-168.58726963000024,Linear
MP_AGE65,13.091887979435098,Linear
EP_AGE17,91.41531956606187,Linear
MP_AGE17,110.78400208504398,Linear
EP_DISABL,-18.97813440791649,Linear
MP_DISABL,-44.861388158529245,Linear
EP_SNGPNT,104.59418821000699,Linear
MP_SNGPNT,-27.125818202007416,Linear
EP_LIMENG,-31.897644616135658,Linear
MP_LIMENG,-40.863965728109385,Linear
