Feature,Coefficient,Model
AVG_MA_Enrollments_2023_FY,132.05601618705379,Linear
AVG_MC_Enrollees,129.48175186841712,Linear
AREA_SQMI,-118.19343519296753,Linear
E_TOTPOP,135.56496189145713,Linear
M_TOTPOP,0.0,Linear
E_HU,133.19904398734016,Linear
M_HU,136.37708521744807,Linear
E_HH,134.19556112495948,Linear
M_HH,127.75419816918745,Linear
E_POV150,132.20832632225506,Linear
M_POV150,139.7539044913139,Linear
E_UNEMP,129.41969038225605,Linear
M_UNEMP,137.27268483196175,Linear
E_HBURD,128.50974012280702,Linear
M_HBURD,139.56606462470958,Linear
E_NOHSDP,142.20042543025022,Linear
M_NOHSDP,139.8579121711798,Linear
E_UNINSUR,136.80047802143827,Linear
M_UNINSUR,142.2329331479495,Linear
E_AGE65,134.00881275260062,Linear
M_AGE65,-125.0673929023909,Linear
E_AGE17,136.58814107475695,Linear
M_AGE17,0.0,Linear
E_DISABL,135.31089301278922,Linear
M_DISABL,139.2567669792583,Linear
E_SNGPNT,128.91800857400992,Linear
M_SNGPNT,131.45047390790532,Linear
E_LIMENG,140.80893370638654,Linear
M_LIMENG,142.2599615291668,Linear
E_MINRTY,128.51893508812802,Linear
M_MINRTY,107.04420161304401,Linear
E_MUNIT,114.7264640853739,Linear
M_MUNIT,117.45217619246749,Linear
E_MOBILE,141.01262436347665,Linear
M_MOBILE,105.43912887972002,Linear
E_CROWD,128.6815365922693,Linear
M_CROWD,132.58397843661862,Linear
E_NOVEH,123.64169447898882,Linear
M_NOVEH,128.71335470558768,Linear
E_GROUPQ,125.96024466156481,Linear
M_GROUPQ,130.10311887689747,Linear
EP_POV150,-106.57158826947291,Linear
MP_POV150,-142.1124193654972,Linear
EP_UNEMP,106.75419449135865,Linear
MP_UNEMP,-135.08597966654185,Linear
EP_HBURD,85.35438198927876,Linear
MP_HBURD,-140.83871487943642,Linear
EP_NOHSDP,-112.99844423198329,Linear
MP_NOHSDP,-142.00334953966632,Linear
EP_UNINSUR,131.3535519940761,Linear
MP_UNINSUR,-142.00334953966632,Linear
EP_AGE65,-134.43343539916697,Linear
MP_AGE65,-131.3535519940761,Linear
EP_AGE17,124.85898537302558,Linear
MP_AGE17,0.0,Linear
