Feature,Coefficient,Model
AVG_MA_Enrollments_2023_FY,173.4213676317182,Linear
AVG_MC_Enrollees,141.89628770684746,Linear
AREA_SQMI,158.16048854963887,Linear
E_TOTPOP,160.5827993693383,Linear
M_TOTPOP,-6.821210263296962e-13,Linear
E_HU,129.84526038446006,Linear
M_HU,295.2054165255427,Linear
E_HH,168.74750840178552,Linear
M_HH,-31.00301006763834,Linear
E_POV150,128.19563783595248,Linear
M_POV150,171.85009211360432,Linear
E_UNEMP,191.2092704553407,Linear
M_UNEMP,193.32084824683807,Linear
E_HBURD,114.83289451232599,Linear
M_HBURD,207.61787747755508,Linear
E_NOHSDP,132.85796573198374,Linear
M_NOHSDP,119.26757517998345,Linear
E_UNINSUR,148.30507574593264,Linear
M_UNINSUR,190.32067684161225,Linear
E_AGE65,115.17105818870671,Linear
M_AGE65,78.6277174200788,Linear
E_AGE17,205.30990156917545,Linear
M_AGE17,18.50840528240469,Linear
E_DISABL,128.6722588568722,Linear
M_DISABL,-24.772922862797294,Linear
E_SNGPNT,158.84577546925783,Linear
M_SNGPNT,183.97195307506556,Linear
E_LIMENG,200.02231571561356,Linear
M_LIMENG,166.94377122840962,Linear
E_MINRTY,278.8864697796472,Linear
M_MINRTY,254.16930257808465,Linear
E_MUNIT,31.207097843366064,Linear
M_MUNIT,112.2107332715071,Linear
E_MOBILE,207.55854999220588,Linear
M_MOBILE,102.871778075931,Linear
E_CROWD,192.89825081814553,Linear
M_CROWD,238.53536003607277,Linear
E_NOVEH,104.42153882615271,Linear
M_NOVEH,119.36947215533026,Linear
E_GROUPQ,64.88389005814825,Linear
M_GROUPQ,354.3179725186659,Linear
EP_POV150,-85.03158826312655,Linear
MP_POV150,-158.80105709087056,Linear
EP_UNEMP,-80.58064680985365,Linear
MP_UNEMP,-168.56233524381352,Linear
EP_HBURD,42.02621101679962,Linear
MP_HBURD,-155.77863820908644,Linear
EP_NOHSDP,-128.3464345263511,Linear
MP_NOHSDP,-183.93656746497584,Linear
EP_UNINSUR,-83.50850336472968,Linear
MP_UNINSUR,-168.21766685012872,Linear
EP_AGE65,-119.40859707003108,Linear
MP_AGE65,-16.865133069608525,Linear
