,Total_ED
Total_ED,1.0
Age_Group_years,0.9999996328285623
Payer_Patient_Residence_State_NC,0.9999861526657543
Race_Non_Hispanic,0.9999638176146391
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",0.9999466133412902
Age_Group_Less_than_1_year,0.9999462590497048
Payer_Uninsured,0.9998532718857275
Payer_Medicaid,0.9998098145312018
Age_Group_or_more_years,0.9997027469381506
Race_Ethnicity_Hispanic,0.9996340421148395
Race_Caucasian,0.9988393611736438
E_TWOMORE,0.9987763024313271
AVG_MA_Enrollments_2023_FY,0.9987682316506378
E_TOTPOP,0.9986987562084932
E_HU,0.9986446175220732
E_HH,0.9984981079107349
E_AGE65,0.9984892020218726
Race_African_American,0.9983972278846419
E_DAYPOP,0.9982327077967363
E_UNEMP,0.9981677376287682
Payer_Medicare,0.997860121892392
E_DISABL,0.9976750078453469
Payer_GA,0.997652700440995
E_AGE17,0.9975855211151191
Race_Asian/Pacific_Islander,0.9974739804867976
"Payer_Discharged,_transferred_to_psychiatric_facility",0.9974428323546108
E_SNGPNT,0.9972991110717072
AVG_MC_Enrollees,0.9966770757317209
E_ASIAN,0.9963700464100361
Race_Other_Race,0.9961133891568875
E_HBURD,0.9956335780587822
M_MINRTY,0.9954072564021786
E_OTHERRACE,0.9952347488675996
E_MUNIT,0.995166017646097
E_POV150,0.9949071818284435
E_UNINSUR,0.9946768534639411
"Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care",0.9943728236514423
E_HISP,0.9943384775452735
E_MINRTY,0.9942889403862729
M_DISABL,0.9942102629634312
M_HH,0.9942071445255803
Payer_Other/Unknown,0.9930911603068922
E_AIAN,0.9923832143196769
E_NOINT,0.9915845363739398
MDs_PrimaryCare_perCap_2021,0.990453925121526
Payer_Court/Law_Enforcement,0.9900035569542075
E_NOHSDP,0.989216200336739
M_UNEMP,0.9889007513015337
E_CROWD,0.9876394205687068
"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",0.9868949497478856
M_TWOMORE,0.9854107215631628
Payer_Expired,0.9841101151698516
Payer_Other_government,0.9835082095846371
M_POV150,0.9828612538744094
MDs_FamilyMed_2021,0.9818195904475002
M_OTHERRACE,0.981432571579293
M_ASIAN,0.9803242742772473
E_AFAM,0.979038015529448
Payer_Other,0.9780277026578353
MDs_Pediatrics_2021,0.976952980975085
M_AIAN,0.9749656347812636
M_HBURD,0.9718471612803635
Payer_TN,0.9710545715459752
M_NOHSDP,0.9685454840111701
E_NOVEH,0.9659700522121866
M_SNGPNT,0.9605640225157376
M_LIMENG,0.9581899076044456
M_AFAM,0.957707311089025
E_LIMENG,0.9573729978793244
M_CROWD,0.9560656875674577
"Payer_Discharged,_transferred_to_rehab_facility",0.953481351948188
M_MUNIT,0.9444405595511247
OBESITY_age-adjusted_prevalence,-0.9438083472472986
OBESITY_crude_prevalence,-0.9437021437536862
EP_ASIAN,0.9397767619049379
Payer_SC,0.939762893838155
MP_LIMENG,-0.9361089150079727
M_NOINT,0.9306099500893033
Payer_Hospice,0.9300885477458405
M_MOBILE,0.9254979339651568
Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,0.924281708058957
Race_Unknown,0.9241694056199933
E_GROUPQ,0.9212291647285057
M_UNINSUR,0.9086459076550982
"Payer_Discharged,_transferred_to_acute_facility",0.9066036902555029
Race_Unavailable,0.9050464506997243
Point_of_Origin_s_office,0.9040538382931622
MP_CROWD,-0.9022512224784637
MP_AFAM,-0.8871039080437065
EP_NOHSDP,-0.8831072255001158
"Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)",0.8827219492575933
COLON_SCREEN_age-adjusted_prevalence,0.8816901811789409
Race_American_Indian,0.8803647102014927
MP_NOHSDP,-0.8771314759119558
M_NOVEH,0.8706210584164022
LPA_crude_prevalence,-0.8699787231785853
DISABILITY_crude_prevalence,-0.8678436112393767
CASTHMA_crude_prevalence,-0.865386675653154
STROKE_age-adjusted_prevalence,-0.8598659255064035
MP_TWOMORE,-0.8566644103185426
MDs_InternalMed_2021,0.8546615257458283
MHLTH_crude_prevalence,-0.8514560788990743
LPA_age-adjusted_prevalence,-0.8505829775586705
DISABILITY_age-adjusted_prevalence,-0.8502100405310736
COGNITION_crude_prevalence,-0.8457811346723881
MP_POV150,-0.8444077533456511
MOBILITY_age-adjusted_prevalence,-0.8437205887121194
CSMOKING_crude_prevalence,-0.8398865705472961
DENTAL_crude_prevalence,0.8398082040613885
CHD_age-adjusted_prevalence,-0.8397020454973131
MOBILITY_crude_prevalence,-0.8385295550144092
MP_HBURD,-0.8376526276465687
EPL_NOHSDP,-0.8368589148361361
ISOLATION_age-adjusted_prevalence,-0.8346455285224231
MP_UNINSUR,-0.8337539974509547
M_AGE65,-0.8335285315029306
EP_AGE65,-0.8301107643974699
SELFCARE_crude_prevalence,-0.8295547699293971
VISION_crude_prevalence,-0.8280663567857383
STROKE_crude_prevalence,-0.8275083002706832
CASTHMA_age-adjusted_prevalence,-0.8264389111278653
INDEPLIVE_crude_prevalence,-0.8256722843949778
PHLTH_crude_prevalence,-0.8251002942119778
EMOTIONSPT_age-adjusted_prevalence,-0.8245672295392337
ACCESS2_crude_prevalence,-0.8243138595838374
DIABETES_crude_prevalence,-0.8223304425569097
GHLTH_crude_prevalence,-0.821279676347307
EP_DISABL,-0.8162425852894605
SLEEP_age-adjusted_prevalence,-0.8159114865675937
SLEEP_crude_prevalence,-0.8153586576850544
F_MUNIT,0.8126314411253338
MP_AGE65,-0.8126314411253338
F_THEME4,0.8126314411253338
PHLTH_age-adjusted_prevalence,-0.8123634784535924
E_NHPI,0.8119193805904116
CHD_crude_prevalence,-0.81135826750362
DIABETES_age-adjusted_prevalence,-0.8095302775361233
MP_MOBILE,-0.8083886015435611
MP_SNGPNT,-0.8080661569576241
LACKTRPT_age-adjusted_prevalence,-0.8055117666838365
HOUSINSECU_age-adjusted_prevalence,-0.8049387154471586
CSMOKING_age-adjusted_prevalence,-0.8020349249927223
DENTAL_age-adjusted_prevalence,0.8019845126993731
EMOTIONSPT_crude_prevalence,-0.7974574198579583
HEARING_crude_prevalence,-0.7960625347775784
MP_DISABL,-0.7947963172092902
BPMED_crude_prevalence,-0.794506470467812
VISION_age-adjusted_prevalence,-0.7941407677073727
COGNITION_age-adjusted_prevalence,-0.7912881373286396
MP_NOINT,-0.7886408271698654
SELFCARE_age-adjusted_prevalence,-0.7882717891092037
INDEPLIVE_age-adjusted_prevalence,-0.7881854451996075
MDs_All_2021,0.7879454428621104
EPL_MUNIT,0.7865894583354578
GHLTH_age-adjusted_prevalence,-0.7850456772805902
HOUSINSECU_crude_prevalence,-0.7844191923131094
MHLTH_age-adjusted_prevalence,-0.7832798155765469
SHUTUTILITY_age-adjusted_prevalence,-0.7821248523648934
EP_POV150,-0.7815676024829323
FOODINSECU_age-adjusted_prevalence,-0.7807022406523287
LACKTRPT_crude_prevalence,-0.7805997051938381
BPMED_age-adjusted_prevalence,-0.7781752916313867
EP_NOINT,-0.7747690935700219
SHUTUTILITY_crude_prevalence,-0.7740970956461924
EP_MOBILE,-0.7718857942228907
FOODINSECU_crude_prevalence,-0.769372282526673
HEARING_age-adjusted_prevalence,-0.7681745597440354
MP_UNEMP,-0.7622299645542595
E_MOBILE,0.7618552385487297
FOODSTAMP_age-adjusted_prevalence,-0.7617590164882246
EP_MUNIT,0.7594295533744952
EPL_MOBILE,-0.7582245816835959
AREA_SQMI,0.7562911642682711
FOODSTAMP_crude_prevalence,-0.7557096128124051
Payer_Left_against_medical_advice,0.7548733363575268
EPL_AGE65,-0.7491811944861507
EPL_DISABL,-0.7421459913890218
MP_NOVEH,-0.735889582812621
CHOLSCREEN_crude_prevalence,0.7300407028341616
CHOLSCREEN_age-adjusted_prevalence,0.7194174626610933
BINGE_crude_prevalence,0.6525108492902959
ACCESS2_age-adjusted_prevalence,-0.6477640948632194
Point_of_Origin_Court/law_enforcement,0.6412257512166507
EPL_POV150,-0.6400708090678536
CANCER_age-adjusted_prevalence,0.5937526534713702
SPL_THEME1,-0.5818464676662213
ISOLATION_crude_prevalence,-0.5755553569752601
CANCER_crude_prevalence,-0.5752133381101563
CHECKUP_crude_prevalence,-0.5694003923355612
MP_ASIAN,-0.5441535304837091
EP_OTHERRACE,0.5404803089553296
RPL_THEME1,-0.5326295040537936
Payer_VA,0.5300753861776183
UIC_2013,-0.5279930602805988
RPL_THEME2,-0.5259800448194912
EPL_LIMENG,0.506590533931628
MAMMOUSE_crude_prevalence,0.5052896088272547
MAMMOUSE_age-adjusted_prevalence,0.4887872222155831
RUCC_2013,-0.48671882823702917
RPL_THEMES,-0.4598472820397888
EPL_AGE17,0.44316749303052433
EP_AFAM,-0.43756343939511305
EP_UNINSUR,-0.43674628527522863
EP_AGE17,0.4323993499317826
SPL_THEMES,-0.43138920247581325
SPL_THEME2,-0.431354645370324
MP_MINRTY,-0.4266301235475857
BINGE_age-adjusted_prevalence,0.4179889770785655
EPL_UNEMP,-0.411618291440442
MP_OTHERRACE,-0.40830241333860207
EP_HISP,0.3860174391956306
EP_LIMENG,0.3755987024343969
EPL_UNINSUR,-0.37425605375117343
EPL_SNGPNT,-0.3686889659426989
EP_UNEMP,-0.36434808426534
EP_SNGPNT,-0.3163752621387703
Payer_Unknown,-0.2760898447556441
HPSA_PrimaryCare_2023,0.2760898447556441
F_TOTAL,0.2577384995270872
MP_GROUPQ,-0.2548119088323066
EP_NHPI,-0.23674749768684344
MP_NHPI,-0.23674749768684344
F_MINRTY,-0.2353504160153886
F_THEME3,-0.2353504160153886
F_SNGPNT,-0.2353504160153886
M_NHPI,0.23329473160454667
CHECKUP_age-adjusted_prevalence,0.22843764764556007
EPL_NOVEH,-0.22110500537028702
M_AGE17,-0.19989240193452018
EP_NOVEH,-0.18681593919895828
MP_MUNIT,-0.18657779767208257
EPL_CROWD,0.16302815503473314
EP_GROUPQ,-0.14693157782593413
EP_CROWD,0.14354086745442715
F_THEME2,-0.13585111714510706
EP_TWOMORE,0.11847392284666636
M_HU,0.10668576526788272
MP_AGE17,-0.09484391315233717
COLON_SCREEN_crude_prevalence,0.07970135734751423
Point_of_Origin_Information_not_available,0.07770495889668616
F_LIMENG,0.06351083487263276
M_GROUPQ,-0.05919492910460943
EP_HBURD,-0.05836026728809237
EP_MINRTY,-0.03865956651326014
SPL_THEME3,0.024583465731209203
RPL_THEME3,0.024583465731209203
EPL_MINRTY,0.024583465731209203
SPL_THEME4,0.015576028803121703
EPL_GROUPQ,0.01338818490853786
RPL_THEME4,-0.008474201643382015
EP_AIAN,-0.0022940352179664485
EPL_HBURD,-0.0021480448192974936
