,Total_ED
Total_ED,1.0
Age_Group_years,0.9999625942569015
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",0.9997226082812972
Payer_Patient_Residence_State_NC,0.9976733433222614
Race_Non_Hispanic,0.9961774766575066
Payer_Medicaid,0.9880174755006462
Age_Group_Less_than_1_year,0.9699474251288104
E_UNINSUR,0.9674469771380987
Race_African_American,0.9666792730642452
E_HBURD,0.9636212215708616
Payer_Uninsured,0.9635633766498132
E_DAYPOP,0.9630602615601326
E_UNEMP,0.9625653583612965
E_SNGPNT,0.9625492614664584
E_HH,0.9622575488206407
Race_Ethnicity_Hispanic,0.9616102954889824
Age_Group_or_more_years,0.9612283368424696
E_HU,0.9596177115741185
E_TOTPOP,0.9580101442010734
Race_Caucasian,0.9577565099032495
E_CROWD,0.9557044419002716
E_NOVEH,0.9552178473009948
E_AGE17,0.9541078079000124
E_HISP,0.9522601031660718
AVG_MC_Enrollees,0.9521753681617743
E_MINRTY,0.951143752033432
E_NOHSDP,0.9491095313911299
E_POV150,0.9477273468504632
"Payer_Discharged,_transferred_to_psychiatric_facility",0.9464884345493177
Race_Asian/Pacific_Islander,0.942689895962167
MDs_PrimaryCare_perCap_2021,0.9408898565191349
E_MUNIT,0.9375272241781726
Payer_Medicare,0.9362415200552118
E_AGE65,0.9350309290990951
E_AFAM,0.9320665463354422
E_LIMENG,0.9278601267473754
E_TWOMORE,0.9267475333082131
M_TWOMORE,0.9245132399812912
E_DISABL,0.9223650538047673
MDs_Pediatrics_2021,0.9200890825742857
M_MUNIT,0.9198127960975423
M_LIMENG,0.9196793599707147
AVG_MA_Enrollments_2023_FY,0.9169474122590039
M_AFAM,0.9118752483524637
M_UNEMP,0.9094363771328092
M_ASIAN,0.9054079573097925
M_HBURD,0.9002026936211515
E_NOINT,0.8994021281958914
E_OTHERRACE,0.898049491663471
MDs_FamilyMed_2021,0.8940562796024033
MDs_InternalMed_2021,0.8911785468354739
M_UNINSUR,0.8908882710094895
M_SNGPNT,0.8866848372812104
