"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","NC","North Carolina","Haywood","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","31.7",,,"24.8","39.6","62,609","51,693","37087","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-82.9820402617006 35.5556752243833)"
"2022","NC","North Carolina","Hoke","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.0",,,"3.7","4.3","53,787","39,354","37093","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-79.2373149494308 35.0172991021942)"
"2022","NC","North Carolina","Surry","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.5",,,"28.3","43.3","71,403","56,506","37171","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-80.6880595387123 36.4143133430213)"
"2022","NC","North Carolina","Edgecombe","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","17.5",,,"15.3","19.9","48,301","37,386","37065","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-77.5971756410996 35.913040080039)"
"2022","NC","North Carolina","Caldwell","BRFSS","Disability","Any disability among adults","%","Crude prevalence","36.0",,,"31.8","40.6","80,492","64,779","37027","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-81.5466545637271 35.9530956685159)"
"2022","NC","North Carolina","Clay","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","35.2",,,"33.4","36.9","11,614","9,847","37043","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-83.7497979844905 35.0571247338988)"
"2022","NC","North Carolina","Alleghany","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","12.0",,,"10.7","13.3","11,185","9,346","37005","HLTHOUT","COPD","CrdPrv","COPD","POINT (-81.1272787621881 36.4916227409052)"
"2022","NC","North Carolina","Scotland","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","7.0",,,"6.4","7.6","34,162","26,314","37165","DISABLT","SELFCARE","CrdPrv","Self-care Disability","POINT (-79.4801629069361 34.8409047045285)"
"2021","NC","North Carolina","Harnett","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence","31.4",,,"27.5","35.5","138,832","103,786","37085","HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol","POINT (-78.8699035439401 35.3688284194037)"
"2022","NC","North Carolina","Hyde","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence","13.4",,,"11.7","15.0","4,576","3,862","37095","SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat","POINT (-76.246508754071 35.5192667562167)"
"2022","NC","North Carolina","Orange","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","19.0",,,"15.7","22.4","150,477","122,960","37135","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support","POINT (-79.1206058027686 36.0613413706585)"
"2022","NC","North Carolina","Hoke","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","11.6",,,"10.3","13.1","53,787","39,354","37093","PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-79.2373149494308 35.0172991021942)"
"2022","NC","North Carolina","Yancey","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","23.5",,,"19.8","27.5","18,811","15,489","37199","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-82.30769414617 35.8991764909611)"
"2022","NC","North Carolina","Alleghany","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","16.4",,,"14.6","18.1","11,185","9,346","37005","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress","POINT (-81.1272787621881 36.4916227409052)"
"2022","NC","North Carolina","Richmond","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence","27.2",,,"23.6","30.9","42,778","32,808","37153","HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis","POINT (-79.7480501194479 35.0059731618643)"
"2022","NC","North Carolina","Caldwell","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","30.4",,,"30.0","30.9","80,492","64,779","37027","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-81.5466545637271 35.9530956685159)"
"2022","NC","North Carolina","Sampson","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence","25.4",,,"21.1","30.3","59,120","44,784","37163","HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-78.3716173368201 34.9921847299645)"
"2021","NC","North Carolina","Haywood","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","89.1",,,"87.1","91.0","62,609","51,693","37087","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening","POINT (-82.9820402617006 35.5556752243833)"
"2022","NC","North Carolina","Henderson","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","11.0",,,"9.9","12.2","118,106","96,745","37089","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma","POINT (-82.4800088797413 35.336054724191)"
"2022","NC","North Carolina","Hoke","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence","16.6",,,"14.5","18.9","53,787","39,354","37093","RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking","POINT (-79.2373149494308 35.0172991021942)"
"2022","NC","North Carolina","Buncombe","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Age-adjusted prevalence","13.3",,,"11.7","14.9","273,589","225,801","37021","HLTHSTAT","GHLTH","AgeAdjPrv","General Health","POINT (-82.530385679713 35.6109780509856)"
"2022","NC","North Carolina","Onslow","BRFSS","Disability","Hearing disability among adults","%","Age-adjusted prevalence","7.3",,,"6.5","8.3","207,298","156,300","37133","DISABLT","HEARING","AgeAdjPrv","Hearing Disability","POINT (-77.4275153859824 34.7305699378555)"
"2022","NC","North Carolina","Union","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","10.8",,,"9.3","12.4","249,070","186,219","37179","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-80.5307553094627 34.9884050314763)"
"2022","NC","North Carolina","Bladen","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Age-adjusted prevalence","6.3",,,"5.7","7.0","29,446","23,540","37017","HLTHOUT","CANCER","AgeAdjPrv","Cancer (non-skin) or Melanoma","POINT (-78.5631528118713 34.6142975484762)"
"2022","NC","North Carolina","Jones","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","18.7",,,"16.3","21.2","9,233","7,545","37103","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking","POINT (-77.3548950478113 35.0214417782855)"
"2022","NC","North Carolina","Columbus","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","11.7",,,"10.6","12.9","49,885","39,531","37047","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers","POINT (-78.6551028425544 34.2655540076522)"
"2022","NC","North Carolina","Dare","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Age-adjusted prevalence","10.2",,,"8.9","11.6","37,956","31,156","37055","SOCLNEED","HOUSINSECU","AgeAdjPrv","Housing Insecurity","POINT (-75.7824832328063 35.7631926889993)"
"2022","NC","North Carolina","Scotland","BRFSS","Disability","Vision disability among adults","%","Age-adjusted prevalence","8.7",,,"7.9","9.4","34,162","26,314","37165","DISABLT","VISION","AgeAdjPrv","Vision Disability","POINT (-79.4801629069361 34.8409047045285)"
"2022","NC","North Carolina","Dare","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","12.6",,,"11.1","14.4","37,956","31,156","37055","DISABLT","MOBILITY","CrdPrv","Mobility Disability","POINT (-75.7824832328063 35.7631926889993)"
"2022","NC","North Carolina","Avery","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Age-adjusted prevalence","33.8",,,"27.0","41.2","17,571","15,070","37011","RISKBEH","SLEEP","AgeAdjPrv","Short Sleep Duration","POINT (-81.9225713884377 36.0766997215744)"
"2022","NC","North Carolina","Transylvania","BRFSS","Disability","Cognitive disability among adults","%","Age-adjusted prevalence","13.3",,,"11.8","14.9","33,355","28,332","37175","DISABLT","COGNITION","AgeAdjPrv","Cognitive Disability","POINT (-82.7987373770396 35.2014202945151)"
"2022","NC","North Carolina","Warren","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","17.1",,,"15.2","19.1","18,713","15,455","37185","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress","POINT (-78.1065171313416 36.3966767382286)"
"2022","NC","North Carolina","Orange","BRFSS","Disability","Any disability among adults","%","Crude prevalence","24.2",,,"21.1","27.7","150,477","122,960","37135","DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-79.1206058027686 36.0613413706585)"
"2022","NC","North Carolina","Swain","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence","11.4",,,"10.0","12.8","13,967","10,864","37173","SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat","POINT (-83.4925803630805 35.4868277405668)"
"2022","NC","North Carolina","Edgecombe","BRFSS","Disability","Cognitive disability among adults","%","Age-adjusted prevalence","17.5",,,"15.6","19.4","48,301","37,386","37065","DISABLT","COGNITION","AgeAdjPrv","Cognitive Disability","POINT (-77.5971756410996 35.913040080039)"
"2022","NC","North Carolina","Person","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Age-adjusted prevalence","20.1",,,"17.6","22.7","39,386","31,351","37145","RISKBEH","CSMOKING","AgeAdjPrv","Current Cigarette Smoking","POINT (-78.9717598158032 36.3900143908706)"
"2022","NC","North Carolina","Duplin","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","5.9",,,"5.4","6.4","48,990","37,227","37061","DISABLT","SELFCARE","CrdPrv","Self-care Disability","POINT (-77.9328634793398 34.9363853110288)"
"2022","NC","North Carolina","Craven","BRFSS","Disability","Mobility disability among adults","%","Age-adjusted prevalence","14.0",,,"12.4","15.7","100,874","79,170","37049","DISABLT","MOBILITY","AgeAdjPrv","Mobility Disability","POINT (-77.0916632156451 35.1237779325124)"
"2022","NC","North Carolina","Haywood","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence","24.6",,,"21.4","28.0","62,609","51,693","37087","HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis","POINT (-82.9820402617006 35.5556752243833)"
"2022","NC","North Carolina","Alexander","BRFSS","Disability","Any disability among adults","%","Age-adjusted prevalence","31.7",,,"27.8","36.0","36,512","29,357","37003","DISABLT","DISABILITY","AgeAdjPrv","Any Disability","POINT (-81.1770332718611 35.9204725331462)"
"2022","NC","North Carolina","Mitchell","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Age-adjusted prevalence","22.6",,,"18.7","26.4","15,094","12,320","37121","RISKBEH","LPA","AgeAdjPrv","Physical Inactivity","POINT (-82.1631707071333 36.0134689001414)"
"2022","NC","North Carolina","Haywood","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","7.9",,,"7.1","8.8","62,609","51,693","37087","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability","POINT (-82.9820402617006 35.5556752243833)"
