County,CHNi,Total_ED,E_TOTPOP,ED_rate_per_1k,expected_ED_rate,excess_ratio,excess_pct
Dare,-1.2778980308919718,18474,37160,497.14747039827773,343.68459614120763,1.4465224103148857,44.65224103148857
Vance,1.076985057046992,20572,42492,484.1381907182529,336.2259456635245,1.4399191881603046,43.99191881603046
Carteret,-0.8252039927109364,33677,68353,492.69234708059633,342.25077268669446,1.4395653316219688,43.95653316219688
Duplin,0.5606084419040898,23093,49312,468.3038611291369,337.86147173567906,1.3860824636894602,38.60824636894602
Forsyth,-0.5817851776906171,179063,383739,466.6270564107375,341.47978924797206,1.3664851364655357,36.64851364655357
Alleghany,-0.02919529792387319,4916,10989,447.35644735644735,339.7295644526119,1.316801639201607,31.68016392016071
Mcdowell,-0.12210555455978407,19709,44629,441.6186784377871,340.0238402634105,1.298787397070961,29.87873970709609
Sampson,0.7258839942531766,25960,59317,437.64856617833,337.3379924242043,1.2973592539436964,29.735925394369644
Polk,-1.0617930879670072,8570,19538,438.6324086395741,343.0001242691082,1.2788112236817604,27.881122368176037
Martin,-0.042266415763431195,9517,21992,432.74827209894505,339.7709647666306,1.2736470062890022,27.364700628900216
Craven,-0.27233422355843373,42948,101098,424.81552552968407,340.49966139420354,1.2476239294636664,24.76239294636664
Burke,-0.10831273744743153,37185,87799,423.5241859246688,339.98015410231375,1.2457320841063366,24.57320841063366
Wayne,0.4716962876103253,49317,117480,419.7906026557712,338.14308430722946,1.2414584894315288,24.14584894315288
Davie,-0.8384351535024752,18228,43030,423.6114338833372,342.2926799067444,1.2375708238889234,23.757082388892336
Wilson,0.7637610562693514,32511,78667,413.273672569184,337.21802393483546,1.2255385039829474,22.55385039829474
Edgecombe,1.4085621877578038,19795,49067,403.42796584262334,335.1757372956307,1.2036311730010247,20.363117300102473
Orange,-1.552330062191042,60274,145919,413.06478251632757,344.5538081253711,1.1988396957900627,19.883969579006266
Rockingham,0.4498553271057374,36881,91209,404.357026170663,338.21226145293787,1.1955717525839291,19.55717525839291
Montgomery,0.45675144287776226,10439,25839,404.00170285227756,338.1904192997284,1.194598308517494,19.459830851749405
Cabarrus,-0.8591747976398032,92082,226396,406.7298008798742,342.35836883943244,1.1880235387808855,18.802353878088553
Beaufort,0.2647819663189606,17960,44711,401.6908590727114,338.7984466091814,1.1856337096376335,18.563370963763347
Avery,-0.258360524646389,7075,17679,400.1923185700549,340.4554023239341,1.1754617956958802,17.546179569588016
New Hanover,-1.0656577152521525,91625,228134,401.62799056694746,343.0123647511491,1.170884877162732,17.088487716273203
Halifax,1.5328497954625535,19035,48772,390.28540966128105,334.7820796107439,1.1657894296943005,16.578942969430056
Pitt,0.032277557342594715,67473,171196,394.1271992336269,339.53486071396514,1.1607856654390847,16.07856654390847
Cherokee,-0.2285189584830143,11402,28868,394.97020922821116,340.36088476046814,1.1604453593607702,16.04453593607702
Lincoln,-0.7186441163066559,34855,87933,396.381335789749,341.91326426552683,1.1593037685777605,15.930376857776052
Catawba,-0.46590782077319465,63599,161011,394.99785728925355,341.11276945495075,1.1579685448903112,15.79685448903112
Transylvania,-1.123867730133472,12978,33131,391.71772660046486,343.1967340548841,1.1413795287976758,14.137952879767578
Bladen,0.9596722864784928,11198,29807,375.683564263428,336.5975118600463,1.1161210378157318,11.612103781573179
Iredell,-0.9681495357815246,71555,187839,380.93793088762186,342.7035258821999,1.111567002139816,11.156700213981608
Stanly,-0.09093704263973526,23490,62723,374.50377054668945,339.9251198481543,1.101724317149558,10.17243171495581
Lee,-0.06530424095958229,23723,63560,373.237885462555,339.8439327567546,1.0982626125907693,9.82626125907693
Wilkes,0.07343258630763512,24573,66125,371.61436672967864,339.4045098791312,1.0949010867946865,9.490108679468644
Mecklenburg,-0.9902087091634669,413260,1115403,370.5028586080547,342.77339417626735,1.080897365148264,8.089736514826406
Robeson,1.867676607249701,40712,117573,346.26997695049033,333.7215784875807,1.0376013997050437,3.7601399705043725
Henderson,-1.0004352248630155,41361,116469,355.12453957705486,342.80578474656704,1.035935084466544,3.593508446654403
Gaston,-0.025965961289033557,77861,228972,340.04594448229483,339.7193361345449,1.0009614064111458,0.09614064111458376
Moore,-1.190106746544676,34446,100759,341.8652428070942,343.4065337149721,0.9955117600961046,-0.44882399038953524
Granville,-0.194579100560386,20254,61161,331.1587449518484,340.2533866265677,0.973270973832508,-2.6729026167491954
Davidson,-0.10192159965354115,55825,169498,329.35491864210786,339.9599113721318,0.9688051667997544,-3.119483320024563
Harnett,0.06887455226391215,42960,134718,318.88834454193204,339.41894659701825,0.9395125043521464,-6.048749564785361
Ashe,-0.5832663364424505,8438,26759,315.33315893718003,341.48448054049885,0.9234187112634614,-7.658128873653858
Guilford,-0.48208683843301153,167862,539557,311.11078162270155,341.164013458704,0.9119097247938777,-8.809027520612233
Watauga,-0.6107219161640899,16584,54540,304.0704070407041,341.57144093944805,0.8902102769610883,-10.978972303891165
Person,0.23119151106770292,11299,39131,288.7480514170351,338.9048380756574,0.85200333242978,-14.799666757022
Rutherford,0.17488016388224387,17769,64680,274.721706864564,339.0831937055971,0.8101896878530823,-18.981031214691768
Durham,-0.8661920116413787,88598,325101,272.52453852802665,342.3805945485698,0.795969581416702,-20.403041858329797
Johnston,-0.3043457279355669,57371,219042,261.9178057176249,340.6010518299482,0.7689870724427256,-23.101292755727442
Brunswick,-1.021400669410512,36628,139721,262.15100092326855,342.87218885970117,0.7645735333481285,-23.54264666518715
Haywood,-0.6118116627160166,16179,62152,260.31342515124214,341.5748925072485,0.7620976566529055,-23.79023433470945
Alamance,-0.16008077044033592,44396,171779,258.448355154006,340.1441196367341,0.7598201475010732,-24.017985249892682
Union,-1.2167742975241667,62461,240109,260.13602155687624,343.4909981806904,0.757329953141986,-24.267004685801396
Pender,-0.4975228463944495,15832,61592,257.04636965839717,341.2129041186033,0.7533313264408358,-24.666867355916423
Wake,-1.5817857663514883,293655,1132103,259.3889425255476,344.6471035433186,0.7526218553957614,-24.737814460423856
Caldwell,-0.10133521002944008,20315,80716,251.6849199663016,339.958054092986,0.7403411007213856,-25.96588992786144
Rowan,0.2614301047356351,35986,147067,244.69119516954856,338.8090630020408,0.722209710098796,-27.779028990120402
Buncombe,-1.2154014965969808,66585,269449,247.11540959513675,343.48665009124863,0.7194323550259946,-28.056764497400543
Washington,0.9551361402175049,2555,11051,231.2007963080264,336.611879252487,0.6868468124816431,-31.315318751835687
Cumberland,0.12247569642315333,72919,335207,217.5342400367534,339.2491750268136,0.6412226058311267,-35.87773941688733
Onslow,-0.177828696083004,40303,203686,197.86828746207397,340.2003328622443,0.581622850857691,-41.837714914230894
Chatham,-1.0942718634555724,13912,76754,181.2543971649686,343.1029946984527,0.5282798458937089,-47.17201541062911
Randolph,-0.06189399803933242,23678,144403,163.97166263858784,339.83313145196104,0.4825064052407349,-51.74935947592652
Franklin,0.35312626002701625,10473,69680,150.30137772675087,338.5186326295231,0.443997355652921,-55.6002644347079
