FIPS,County,CHNi_v1,CHNi_v2,CHNi_v2w,prev_hosp,Total_ED,E_TOTPOP,ED_rate_per_1k,v2_rank,v1_rank,rank_change,Region,v2_imputed
37155,Robeson,1.739366833984813,1.691447471743989,2.321495601454576,5296,40712.0,117573.0,346.26997695049033,1,1,0,South Central,False
37165,Scotland,1.482450174520452,1.4153195036609647,2.2799702616721436,5133,42738.0,34222.0,1248.8457717257904,2,2,0,Piedmont,False
37005,Alleghany,0.4717482883812358,1.3917095226570426,1.4200803457323201,2368,4916.0,10989.0,447.35644735644735,3,25,22,West,False
37173,Swain,0.7211332328558434,1.2848273056512105,1.1947619863638672,2875,7159.0,14130.0,506.65251238499644,4,18,14,West,False
37083,Halifax,1.3798004601888636,1.103622774563647,1.5418383507148705,4201,19035.0,48772.0,390.28540966128105,5,3,-2,East,False
37153,Richmond,0.9548371439654055,1.0519357283341306,1.8058059894865073,3835,28574.0,43149.0,662.2169691070476,6,12,6,Piedmont,False
37133,Onslow,-0.38589125006914393,0.8934793774434777,0.44408787643845465,2671,40303.0,203686.0,197.86828746207397,7,71,64,East,False
37107,Lenoir,1.2344075442519868,0.840637763875772,1.5090495567470934,4006,31624.0,55071.0,574.2405258666086,8,7,-1,East,False
37131,Northampton,0.7594429207516356,0.8402427052977903,0.20134947393149655,4616,0.0,17528.0,0.0,9,15,6,East,False
37047,Columbus,1.0214206536862471,0.8156133871293503,0.9913842530428028,4496,10.0,50827.0,0.1967458240698841,10,11,1,South Central,False
37193,Wilkes,0.11546792516050937,0.7788403115938841,1.023762212362059,2336,24573.0,66125.0,371.61436672967864,11,38,27,West,False
37161,Rutherford,0.0852406141071423,0.7150847597574432,1.2461728573273583,2501,17769.0,64680.0,274.721706864564,12,40,28,West,False
37065,Edgecombe,1.2457638458396727,0.6721031622400608,0.8380843321368628,2963,19795.0,49067.0,403.42796584262334,13,6,-7,East,False
37007,Anson,1.1543435342078947,0.6662994802793714,0.17465302807585115,4260,15679.0,22200.0,706.2612612612612,14,9,-5,Piedmont,False
37015,Bertie,1.2032078423125347,0.64966595831951,0.7869331177480658,3865,8995.0,17818.0,504.8265798630598,15,8,-7,East,False
37061,Duplin,0.5694092470778089,0.6188413833171775,0.41158051276377156,3266,23093.0,49312.0,468.3038611291369,16,21,5,East,False
37171,Surry,0.0800771391564021,0.5964544095466306,0.7180038393925773,3736,36590.0,71429.0,512.2569264584413,17,41,24,West,False
37039,Cherokee,-0.04278608959231729,0.5725774073202354,0.7774118318347999,2143,11402.0,28868.0,394.97020922821116,18,49,31,West,False
37181,Vance,1.0561908965217874,0.5220600588423097,0.8737546350320087,3159,20572.0,42492.0,484.1381907182529,19,10,-9,North Central,False
37045,Cleveland,0.297424993828669,0.5212899599925512,0.571740009633183,3706,75200.0,99527.0,755.5738643785104,20,31,11,West,False
37009,Ashe,-0.3763644933796254,0.48292876795585826,0.19679910174575863,2422,8438.0,26759.0,315.33315893718003,21,68,47,West,False
37185,Warren,0.5462298718059877,0.4633337030358671,0.4929923328741625,2223,0.0,18803.0,0.0,22,23,1,North Central,False
37017,Bladen,0.7448956791103389,0.4618375473044653,0.9446435711522848,3592,11198.0,29807.0,375.683564263428,23,17,-6,South Central,False
37157,Rockingham,0.1352903226981549,0.42862718286723844,0.48798340144115127,3382,36881.0,91209.0,404.357026170663,24,36,12,Piedmont,False
37051,Cumberland,0.4012204479381909,0.4246836918681536,0.5208398696903724,3649,72919.0,335207.0,217.5342400367534,25,28,3,South Central,False
37023,Burke,0.01358053854466761,0.42023658930019636,0.8106463252561041,2221,37185.0,87799.0,423.5241859246688,26,48,22,West,False
37113,Macon,-0.4120245820138296,0.3815430820893477,0.652408179386086,1656,19845.0,37088.0,535.0787316652287,27,72,45,West,False
37027,Caldwell,0.12485028803813245,0.36833538434903157,0.34641594029859846,2776,20315.0,80716.0,251.6849199663016,28,37,9,West,False
37043,Clay,-0.45321610863616446,0.3375900769822709,0.5794736879364952,1335,0.0,11186.0,0.0,29,74,45,West,False
37117,Martin,0.8503782827003775,0.3361230955592542,0.6426850173823101,4138,9517.0,21992.0,432.74827209894505,30,13,-17,East,False
37091,Hertford,1.280994812122908,0.3189812318974098,0.2078631593214602,3689,15446.0,21633.0,714.001756575602,31,5,-26,East,False
37197,Yadkin,-0.32086138932934694,0.2781929888532896,0.13872733087881384,3407,0.0,37280.0,0.0,32,64,32,West,False
37199,Yancey,-0.30578286249198283,0.27309746087704767,0.3947940568231617,2333,0.0,18538.0,0.0,33,62,29,West,False
37195,Wilson,0.7661817664693913,0.2583932861541758,0.465693952869618,3863,32511.0,78667.0,413.273672569184,34,14,-20,East,False
37013,Beaufort,0.3285980116466096,0.24404015242467492,0.21549591292324177,3241,17960.0,44711.0,401.6908590727114,35,30,-5,East,False
37163,Sampson,0.6869601462980326,0.2330134700683188,0.18616311583546696,3885,25960.0,59317.0,437.64856617833,36,20,-16,East,False
37111,McDowell,-0.3182459001327199,0.2232740333378857,0.37776128981250234,2107,,,,37,63,26,West,False
37075,Graham,-0.20005980716475022,0.21760413889142022,0.24110462561270674,1216,0.0,8047.0,0.0,38,55,17,West,True
37151,Randolph,-0.08467905679650259,0.21292561630472717,0.24654624059283067,3463,23678.0,144403.0,163.97166263858784,39,50,11,Piedmont,False
37191,Wayne,0.43147544047588626,0.21259625332137835,0.22608541900585147,3262,49317.0,117480.0,419.7906026557712,40,27,-13,East,False
37099,Jackson,-0.2509200983212635,0.21193424444495476,0.2854101494796548,1809,28268.0,42388.0,666.8868547702181,41,58,17,West,False
37123,Montgomery,0.19128177338224078,0.20264609920379176,-0.020028752325654996,2962,10439.0,25839.0,404.00170285227756,42,34,-8,Piedmont,False
37093,Hoke,0.1119340518076721,0.19086181194244153,0.2053591722252111,3523,71257.0,52612.0,1354.3868319014673,43,39,-4,Piedmont,False
37011,Avery,-0.5001047443769744,0.18116458925464946,0.10468413362701243,1805,7075.0,17679.0,400.1923185700549,44,76,32,West,False
37121,Mitchell,-0.2655455367292609,0.09232970941323525,0.44405066210923727,1647,12704.0,14989.0,847.5548735739542,45,59,14,West,False
