feature,column,r_ca,p_ca,r_ny,p_ny,avg_abs_r
Math Scores,Math Scores raw value,-0.6382640807596364,9.239280549346941e-08,,,0.6382640807596364
Reading Scores,Reading Scores raw value,-0.5982917390915603,1.1172507013334778e-06,,,0.5982917390915603
Food Insecurity,Food Insecurity raw value,0.4657219544719118,0.00022954943748341238,0.6368439879121918,2.63208390101972e-08,0.5512829711920517
Frequent Physical Distress,Frequent Physical Distress raw value,0.4707208541411826,0.00019226737589774406,0.5432653734495502,5.055670849704976e-06,0.5069931137953664
Firearm Fatalities,Firearm Fatalities raw value,0.6097570526551199,1.6008885499461628e-06,0.40162831105379615,0.0019577781578228445,0.505692681854458
Median Household Income,Median Household Income raw value,-0.523217093151627,2.5089600220202557e-05,-0.46680883266436035,0.00013100280837665402,0.4950129629079937
Teen Births,Teen Births raw value,0.5396463697351506,1.7711055110683656e-05,0.44500510993535336,0.0003263977127885747,0.49232573983525196
Homicides,Homicides raw value,0.5570238453495191,3.226027208970865e-05,0.40755575066311495,0.025385381196579453,0.482289798006317
Frequent Mental Distress,Frequent Mental Distress raw value,0.5477411952738268,8.583998506212165e-06,0.4094777287029061,0.0009504201160749396,0.47860946198836646
Infant Mortality,Infant Mortality raw value,0.6160506833434319,6.639490308354561e-06,0.33617376313987946,0.02950326572933862,0.4761122232416557
Adult Smoking,Adult Smoking raw value,0.5740819110634059,2.4587229715480382e-06,0.373844495375087,0.0027616653317195086,0.47396320321924645
Poor or Fair Health,Poor or Fair Health raw value,0.34062172863081114,0.008886898516586255,0.5952911522211427,3.3407384717368665e-07,0.46795644042597695
Poor Physical Health Days,Poor Physical Health Days raw value,0.49614182894797637,7.47503994390081e-05,0.4375295752673063,0.00037646665156386265,0.46683570210764136
Food Environment Index,Food Environment Index raw value,-0.3684782954960789,0.004426589272627771,-0.5644829391089212,1.7651689190721194e-06,0.46648061730250007
Life Expectancy,Life Expectancy raw value,-0.45957696199112374,0.00032277767070451136,-0.4652229801198842,0.00013905401745448377,0.462399971055504
Disconnected Youth,Disconnected Youth raw value,0.7153174199486607,1.4766460622995356e-07,0.2086690699445247,0.13766239754053228,0.4619932449465927
Children Eligible for Free or Reduced Price Lunch,Children Eligible for Free or Reduced Price Lunch raw value,0.3249460843832697,0.012817923594324602,0.5357021807967723,7.232140379484348e-06,0.430324132590021
Children in Poverty,Children in Poverty raw value,0.3354681075613763,0.010044219597159003,0.5204173919874022,1.4530866697775212e-05,0.4279427497743893
