FIPS,County,CHNi,diabetes,life_exp,pcp_rate,phys_inact,poverty,prev_hosp
06001,Alameda County,-0.3495619873048724,0.094,82.203733125,0.0011203744,0.182,0.103,2102.0
06003,Alpine County,-0.575404518777415,0.088,,0.0,0.169,0.266,921.0
06005,Amador County,-0.5944440965296693,0.087,78.816769487,0.0004605056,0.182,0.12,1514.0
06007,Butte County,0.06250793648613932,0.098,76.553001245,0.0005856684,0.2,0.187,3527.0
06009,Calaveras County,-0.34057062696527696,0.093,78.620318565,0.0003894334,0.196,0.162,1865.0
06011,Colusa County,0.1257575091757071,0.119,79.507424274,0.0002737601,0.26,0.137,3265.0
06013,Contra Costa County,-0.4642297839053565,0.091,81.558972184,0.0010142817,0.175,0.1,2096.0
06015,Del Norte County,0.6606395116144222,0.111,74.614696887,0.0006049822,0.234,0.225,1451.0
06017,El Dorado County,-0.9313104984649279,0.077,81.127153894,0.0007556115,0.166,0.065,1883.0
06019,Fresno County,0.939632828903554,0.126,76.637940556,0.0006758217,0.251,0.251,2779.0
06021,Glenn County,0.3208119036686108,0.113,76.244868451,0.000173581,0.253,0.192,3808.0
06023,Humboldt County,0.17830196765783482,0.101,76.4417762,0.0006089062,0.2,0.205,1891.0
06025,Imperial County,1.2613374477438488,0.149,77.448199817,0.0002502071,0.3,0.275,2059.0
06027,Inyo County,-0.25262265757394003,0.091,77.034281314,0.0006852926,0.183,0.135,1083.0
06029,Kern County,1.0564147711972567,0.13,74.924741666,0.0004783839,0.275,0.236,2700.0
06031,Kings County,0.6548919206685699,0.128,77.328676491,0.0003714734,0.258,0.213,2624.0
06033,Lake County,0.4957351396378581,0.105,74.634465498,0.00042172,0.236,0.228,2027.0
06035,Lassen County,0.02715528220986043,0.105,76.492909301,0.0002714195,0.222,0.17,2813.0
06037,Los Angeles County,0.27474878230348965,0.117,80.055852613,0.0007539516,0.218,0.181,2462.0
06039,Madera County,0.9989283731980872,0.125,77.365887046,0.0004704849,0.258,0.313,2697.0
06041,Marin County,-0.87213571638898,0.071,84.703879478,0.0014911263,0.133,0.081,1124.0
06043,Mariposa County,-0.34238782936391654,0.091,78.512311572,0.000233277,0.186,0.213,2473.0
06045,Mendocino County,0.363530002949298,0.1,77.247675093,0.0007776135,0.214,0.226,1594.0
06047,Merced County,0.9868485714631328,0.132,76.885047459,0.0004189052,0.272,0.26,3367.0
06049,Modoc County,0.5028792788961159,0.102,75.799244181,0.0004618404,0.222,0.28,1726.0
06051,Mono County,-1.3338449620389086,0.087,98.902937928,0.0008303767,0.18,0.106,1360.0
06053,Monterey County,0.13126374748625183,0.113,81.298455227,0.000647116,0.235,0.164,2064.0
06055,Napa County,-0.4755258032966042,0.089,81.353002523,0.0009837967,0.183,0.093,1590.0
06057,Nevada County,-0.7147550363013722,0.078,79.977868852,0.0007247287,0.164,0.118,1695.0
06059,Orange County,-0.4321947283706876,0.095,81.777468014,0.0009962722,0.17,0.11,1602.0
06061,Placer County,-0.7952854790596717,0.076,81.770060302,0.0012199854,0.154,0.055,1529.0
06063,Plumas County,-0.16254954193071317,0.087,77.467381788,0.0007532011,0.179,0.18,1952.0
06065,Riverside County,-0.023134726888453104,0.111,78.530495952,0.0004620901,0.222,0.133,2175.0
06067,Sacramento County,0.11721762910476834,0.106,78.42732168,0.0008905414,0.198,0.154,2527.0
06069,San Benito County,-0.5408839160381458,0.104,80.422762074,0.0002699582,0.213,0.083,1911.0
06071,San Bernardino County,0.7209772951484756,0.123,76.07008169,0.0005886883,0.262,0.182,2687.0
