FIPS,County,CHNi,diabetes,life_exp,pcp_rate,phys_inact,poverty,prev_hosp
12001,Alachua County,0.30213569375044724,0.105,77.882816093,0.0015542297,0.245,0.15,2798.0
12003,Baker County,-0.06382356920673002,0.104,74.4423423,0.000383075,0.294,0.179,4050.0
12005,Bay County,-0.05218551184325663,0.102,74.547375081,0.0005748794,0.272,0.178,2872.0
12007,Bradford County,0.2533365001075957,0.123,74.594635,0.0001401542,0.325,0.228,4390.0
12009,Brevard County,-0.40858535621190606,0.096,76.253162859,0.0007232886,0.237,0.134,2673.0
12011,Broward County,-0.166016320859996,0.107,79.723128348,0.0007571273,0.269,0.189,3413.0
12013,Calhoun County,0.4427329605168081,0.116,74.311576368,0.0002932336,0.31,0.301,3147.0
12015,Charlotte County,-0.7056482055870453,0.086,79.63256916,0.0006210128,0.256,0.144,2706.0
12017,Citrus County,0.06287781108773989,0.092,73.157836772,0.0004617827,0.271,0.259,2673.0
12019,Clay County,-0.49340817185368946,0.096,75.717014434,0.0005351658,0.252,0.118,2583.0
12021,Collier County,-0.710184403826789,0.094,84.695359493,0.0008212861,0.249,0.166,2419.0
12023,Columbia County,0.45139436974032243,0.11,73.188142227,0.0005114726,0.299,0.262,3498.0
12027,DeSoto County,0.8349034506800429,0.138,78.128854079,0.0002615671,0.383,0.326,3413.0
12029,Dixie County,0.4231978107962431,0.112,74.111952311,0.0002338908,0.321,0.305,3539.0
12031,Duval County,0.3707819801720098,0.113,74.34138291,0.0008100527,0.278,0.203,3387.0
12033,Escambia County,0.3129161826824863,0.102,73.057199608,0.000763051,0.253,0.25,3265.0
12035,Flagler County,-0.6048455315028427,0.095,77.961711153,0.000529223,0.233,0.165,2314.0
12037,Franklin County,0.22467807862040967,0.112,74.790301576,0.0003181674,0.293,0.273,2031.0
12039,Gadsden County,1.037940999307872,0.143,74.054405525,0.0002287597,0.347,0.347,3807.0
12041,Gilchrist County,-0.0472878797942864,0.104,75.64300764,0.0004357298,0.291,0.204,4401.0
12043,Glades County,0.4628319279712658,0.129,80.615023322,,0.331,0.267,3867.0
12045,Gulf County,0.007670606476018649,0.097,73.935211946,0.0004873634,0.254,0.257,3283.0
12047,Hamilton County,0.9301190275281599,0.134,72.69377884,7.14643e-05,0.35,0.351,4745.0
12049,Hardee County,0.86298976142377,0.14,75.586261568,0.0001573255,0.382,0.299,3132.0
12051,Hendry County,1.0396124879967124,0.152,75.417135239,0.0002728648,0.382,0.275,3190.0
12053,Hernando County,-0.1490861458716915,0.101,74.982857368,0.0005582193,0.272,0.163,3422.0
12055,Highlands County,0.33407153176067855,0.115,75.529989365,0.000580855,0.296,0.242,3229.0
12057,Hillsborough County,-0.1496879651007843,0.105,77.904008466,0.000835479,0.256,0.164,3571.0
12059,Holmes County,0.6507735090638078,0.117,71.669262052,0.0003538213,0.315,0.28,2635.0
12061,Indian River County,-0.6133756912209545,0.09,78.976265783,0.0006293458,0.242,0.165,2221.0
12063,Jackson County,0.6569110077335265,0.128,72.136468239,0.000314505,0.31,0.265,4090.0
12065,Jefferson County,0.010168098939552162,0.112,75.388393083,0.0002748196,0.279,0.245,2883.0
12067,Lafayette County,0.39024746548403344,0.124,74.648578303,0.0001193033,0.319,0.288,3102.0
12069,Lake County,-0.3305916246522724,0.106,77.429301781,0.0005861487,0.262,0.142,2978.0
12071,Lee County,-0.6748038663568087,0.096,81.171636458,0.0006649949,0.238,0.16,2400.0
12073,Leon County,-0.17627061971674937,0.104,77.514677986,0.0008845115,0.239,0.164,3355.0
12075,Levy County,0.1441030941758711,0.114,74.196708758,0.0001132298,0.307,0.254,3555.0
12077,Liberty County,0.8274498683807624,0.12,73.738604624,,0.312,0.284,4524.0
12079,Madison County,1.0043583368027378,0.145,73.010728829,0.0001093613,0.353,0.323,3104.0
12081,Manatee County,-0.6988578358345341,0.096,80.033193713,0.0006203008,0.238,0.14,2355.0
12083,Marion County,0.13733108705722769,0.101,74.35814339,0.0005804387,0.279,0.232,3162.0
12085,Martin County,-0.8698421558366872,0.085,80.682379812,0.0006940016,0.217,0.154,2486.0
12086,Miami-Dade County,0.37583111864134666,0.13,80.186929705,0.0008280829,0.332,0.173,3919.0
12087,Monroe County,-0.7848750451974212,0.092,80.648236117,0.0006571742,0.229,0.144,2207.0
12089,Nassau County,-1.0064796285204385,0.087,76.920127424,0.0003822102,0.215,0.102,2536.0
12091,Okaloosa County,-0.5664406281343217,0.091,76.490888274,0.0006986941,0.228,0.126,2802.0
12093,Okeechobee County,0.49944272322301053,0.114,73.923092419,0.0004221924,0.328,0.258,4750.0
