FIPS,County,CHNi,diabetes,life_exp,pcp_rate,phys_inact,poverty,prev_hosp
37001,Alamance County,-0.4695244251737167,0.108,75.954972557,0.0003853299,0.23,0.15,2980.0
37003,Alexander County,-0.43578726004081075,0.096,74.593109846,0.0001910272,0.231,0.209,3142.0
37005,Alleghany County,0.4717482883812359,0.117,77.234187285,0.0009955652,0.272,0.253,2368.0
37007,Anson County,1.1543435342078947,0.142,71.83531132,0.0004533092,0.296,0.326,4260.0
37009,Ashe County,-0.3763644933796254,0.097,76.300300129,0.0004866909,0.23,0.206,2422.0
37011,Avery County,-0.5001047443769744,0.099,75.892068941,0.000223914,0.231,0.205,1805.0
37013,Beaufort County,0.3285980116466096,0.115,75.058025974,0.0005172259,0.262,0.282,3241.0
37015,Bertie County,1.2032078423125347,0.155,73.459690409,0.0002856327,0.315,0.349,3865.0
37017,Bladen County,0.7448956791103388,0.133,71.74167437,0.0002370872,0.291,0.275,3592.0
37019,Brunswick County,-0.9746161751205475,0.088,77.79173383,0.0004368478,0.187,0.165,1995.0
37021,Buncombe County,-0.38416478897559203,0.088,77.807736984,0.001406822,0.18,0.154,1765.0
37023,Burke County,0.01358053854466761,0.107,75.132615054,0.0006277751,0.259,0.185,2221.0
37025,Cabarrus County,-0.7025352820408935,0.096,77.649149682,0.0007912555,0.211,0.099,3761.0
37027,Caldwell County,0.1248502880381325,0.104,73.355233194,0.0004971229,0.245,0.239,2776.0
37029,Camden County,-1.223983731206848,0.091,77.608268478,0.000184587,0.204,0.092,3298.0
37031,Carteret County,-0.7246329194416059,0.087,76.664634037,0.0006127719,0.194,0.17,3217.0
37033,Caswell County,0.04006286618152142,0.12,74.758662721,0.0002201286,0.255,0.24,2574.0
37035,Catawba County,-0.1800365276274919,0.1,74.937118906,0.0006368915,0.244,0.164,2187.0
37037,Chatham County,-0.8775737741585277,0.092,79.901519572,0.0009372312,0.193,0.11,1959.0
37039,Cherokee County,-0.04278608959231729,0.105,74.460602338,0.0004114239,0.237,0.245,2143.0
37041,Chowan County,0.5551998901747017,0.124,74.548774808,0.0007287567,0.268,0.253,1685.0
