FIPS,County,CHNi,diabetes,life_exp,pcp_rate,phys_inact,poverty,prev_hosp
36001,Albany County,-0.15509952501637714,0.093,78.746657529,0.0009625713,0.213,0.152,2471.0
36003,Allegany County,0.12456515750613402,0.102,77.492546253,0.0003470264,0.243,0.199,2714.0
36005,Bronx County,2.5547731804477944,0.152,77.260952133,0.0005782667,0.357,0.353,3749.0
36007,Broome County,0.675877843188354,0.104,77.177941172,0.0007858447,0.23,0.27,2643.0
36009,Cattaraugus County,0.5827915100040633,0.103,75.513135815,0.0004317902,0.262,0.2,3268.0
36011,Cayuga County,-0.3109012483757971,0.096,78.364159537,0.0002899315,0.227,0.179,3511.0
36013,Chautauqua County,0.8848638525736048,0.111,76.734704119,0.00063088,0.252,0.266,2309.0
36015,Chemung County,0.8124944490110583,0.1,75.48534075,0.0007827082,0.262,0.211,4118.0
36017,Chenango County,0.17030394151479536,0.098,75.792186563,0.0003008359,0.25,0.169,2494.0
36019,Clinton County,0.07737550473277288,0.102,78.680470864,0.0008040605,0.245,0.14,2928.0
36021,Columbia County,-0.7398801422346204,0.091,79.497000458,0.0004046748,0.2,0.153,2511.0
36023,Cortland County,-0.0840247870061033,0.093,76.708659278,0.0003670834,0.24,0.162,3707.0
36025,Delaware County,0.03180435070835369,0.095,77.512083737,0.0003830727,0.248,0.192,1609.0
36027,Dutchess County,-0.5469844381061207,0.093,79.678796143,0.0007101699,0.23,0.092,2626.0
36029,Erie County,0.06319378782116322,0.092,77.544224445,0.0007321052,0.241,0.166,2421.0
36031,Essex County,-0.43028844136309025,0.088,78.54462347,0.0005098208,0.221,0.162,2333.0
36033,Franklin County,0.8765328633381492,0.117,77.820311256,0.0005268038,0.288,0.225,2905.0
36035,Fulton County,0.3215145100713847,0.101,75.927397827,0.0003200542,0.26,0.178,3009.0
36037,Genesee County,-0.4599027733512946,0.092,77.508555639,0.0003111334,0.23,0.122,2505.0
36039,Greene County,-0.2918393473751289,0.091,78.120243297,0.0002886657,0.25,0.158,2495.0
36041,Hamilton County,-0.36986974206070417,0.091,79.21221541,0.0003907013,0.252,0.15,2973.0
36043,Herkimer County,-0.24955796774545802,0.092,78.053019624,0.000266947,0.254,0.159,3002.0
36045,Jefferson County,0.06575855932459276,0.1,77.334672718,0.0005073305,0.236,0.172,2983.0
36047,Kings County,0.7086241738326814,0.114,80.262579657,0.0006319451,0.275,0.275,3012.0
36049,Lewis County,0.3131221753567116,0.098,78.464655293,0.0006773793,0.272,0.187,3492.0
36051,Livingston County,-0.7081666018862729,0.091,79.409271528,0.0004547079,0.211,0.13,2609.0
36053,Madison County,-0.5515930966879502,0.086,79.648958878,0.0007390109,0.211,0.151,2431.0
36055,Monroe County,0.361872542488101,0.099,78.578795605,0.0010739446,0.238,0.19,3347.0
36057,Montgomery County,0.6748669547901984,0.107,76.03633826,0.0005246378,0.267,0.198,3088.0
36059,Nassau County,-0.5972400324929121,0.086,81.501840181,0.0013631393,0.221,0.066,2288.0
36061,New York County,-0.3661748432802131,0.086,83.308167296,0.0013685287,0.202,0.211,2069.0
36063,Niagara County,0.49441517680038255,0.106,76.151251597,0.0003827019,0.251,0.213,2439.0
36065,Oneida County,0.5789316567743549,0.101,76.556549016,0.0007035097,0.252,0.213,2578.0
36067,Onondaga County,0.32693693519312705,0.098,78.076661763,0.0009234293,0.242,0.189,2862.0
36069,Ontario County,-0.7587087902330689,0.081,79.899735868,0.0008266079,0.202,0.128,2956.0
36071,Orange County,0.24461283803993877,0.099,79.178662325,0.0006674495,0.26,0.21,3121.0
36073,Orleans County,0.3411265348577336,0.113,77.236818515,7.46436e-05,0.282,0.175,2582.0
36075,Oswego County,0.411342266840453,0.094,76.83685956,0.0004003851,0.268,0.235,3465.0
36077,Otsego County,0.29000962952037784,0.086,78.320597355,0.0013763914,0.237,0.171,2453.0
36079,Putnam County,-1.5684686677005817,0.077,82.024297071,0.000530959,0.197,0.058,2232.0
36081,Queens County,0.3815336497136492,0.121,81.411680025,0.0005894104,0.296,0.161,2605.0
36083,Rensselaer County,-0.5006979317823695,0.091,78.269902638,0.0004805532,0.209,0.148,2517.0
36085,Richmond County,0.21327332207585195,0.109,79.182656732,0.0008125732,0.252,0.145,2585.0
36087,Rockland County,0.3012538446966787,0.102,80.964857179,0.000848989,0.261,0.231,2445.0
36089,St. Lawrence County,0.4745214991763202,0.107,77.628932122,0.0005460384,0.253,0.219,3247.0
36091,Saratoga County,-1.3591879311317099,0.075,80.727492125,0.0006951495,0.186,0.075,2309.0
36093,Schenectady County,0.026406544685034738,0.095,77.6690558,0.0007970194,0.235,0.146,2158.0
36095,Schoharie County,-0.5098594223278502,0.094,79.329644621,0.0003013763,0.242,0.137,2696.0
36097,Schuyler County,0.3532520684107891,0.103,77.548674394,0.0006196485,0.258,0.181,2489.0
36099,Seneca County,0.1355212045204917,0.101,77.675764524,0.0002671574,0.261,0.194,3436.0
36101,Steuben County,0.1262744495110397,0.097,77.076078956,0.0005594526,0.241,0.175,2308.0
36103,Suffolk County,-0.6560302940297958,0.087,79.631675243,0.0007128144,0.24,0.071,2752.0
36105,Sullivan County,0.6564802358741415,0.105,76.659055202,0.00032579,0.272,0.249,2971.0
36107,Tioga County,-0.5932847539562266,0.091,78.990096396,0.0002709462,0.228,0.149,3399.0
36109,Tompkins County,-1.0156156698437946,0.087,80.931855207,0.0007987676,0.172,0.123,1930.0
36111,Ulster County,-0.548021902649051,0.09,79.168021737,0.0005957879,0.2,0.164,2624.0
36113,Warren County,0.040465297413445775,0.089,78.063195658,0.0011124996,0.23,0.143,2697.0
36115,Washington County,-0.2764235150851147,0.093,77.456614347,0.0003609161,0.235,0.146,3003.0
36117,Wayne County,-0.2806858216350129,0.095,77.949409237,0.0002309647,0.253,0.142,4221.0
36119,Westchester County,-0.6142412020937658,0.088,82.100403067,0.0013157697,0.206,0.105,2373.0
36121,Wyoming County,-0.18132400446552172,0.098,78.602928442,0.0003457558,0.245,0.169,3239.0
36123,Yates County,0.027380383102058103,0.094,77.919923564,0.0004875472,0.233,0.217,2151.0
