Model,Target,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std,Train_R2,Overfit_Gap
Elastic Net,log(Total_ED),0.6078980805338408,0.2960027803901686,0.42369215660889026,0.1514851275893362,0.3330189623424741,0.09796173892593059,0.8344080138797605,0.22650993334591973
Lasso,log(Total_ED),0.6074409016891147,0.3015354905230278,0.4225307319624406,0.1515935492336017,0.3330764599685842,0.09628379976693473,0.8356612883389143,0.2282203866497996
Ridge,log(Total_ED),0.5437422553618416,0.3070111966610358,0.45607547963957734,0.15186940364413964,0.3633926539475612,0.12636042812838014,0.8856620098427147,0.3419197544808731
Random Forest,log(Total_ED),0.5103455820787808,0.3001169110508121,0.49167562439945633,0.16503839019032548,0.38635315366049927,0.11204338080253638,0.9171390467501667,0.4067934646713859
Gradient Boosting,log(Total_ED),0.4439435968413605,0.3758240462291272,0.4958594213853294,0.15491834570400081,0.3984725670295442,0.12124310142534449,0.9999700371982965,0.5560264403569359
SVR (RBF),log(Total_ED),0.4217393304103778,0.38329797259423964,0.5257767334006106,0.16906774232152502,0.386138620215752,0.14574674986244834,0.9913558068828963,0.5696164764725185
KNN,log(Total_ED),0.2691186819979983,0.4937900854218384,0.5974797241631012,0.1907351369880683,0.46649138151283126,0.14813956264281705,0.9999999999999971,0.7308813180019988
OLS,log(Total_ED),-0.3604990313470718,1.2239522140678831,0.7741429962924841,0.18218212327675587,0.618677368879378,0.17420917607772293,0.9408639363794842,1.301362967726556
KNN,ED_rate,-0.1676546951592715,0.3662281141170194,177.5480852275863,101.109603056008,132.160585057429,54.56281102906545,0.9999999999999961,1.1676546951592677
Random Forest,ED_rate,-0.17257770540243694,0.7922740853604515,166.22294863028964,102.47709332384879,126.04122757289505,55.587492252344035,0.6974768950138069,0.8700546004162439
Gradient Boosting,ED_rate,-0.22546250918468064,0.7829533021004754,171.6854899116025,107.23050655172621,129.5896324458232,57.3822965045934,0.9991333396482591,1.2245958488329398
SVR (RBF),ED_rate,-0.2332236241880648,0.6260303848869725,175.49864751598645,100.41965221200508,127.0028155104371,51.57404166853596,0.2901469079351853,0.5233705321232501
Elastic Net,ED_rate,-0.31977012624872014,0.6424515645896008,182.24263847136223,98.18726082501101,130.76541593614238,53.61304849318497,0.13445040485379195,0.4542205311025121
Ridge,ED_rate,-0.3427303962925984,0.7918802047467227,181.3835266736532,97.95870728164368,131.12208316486846,52.90466510073023,0.1397377734846193,0.4824681697772177
Lasso,ED_rate,-0.4004174579973053,0.9430649074476859,181.05291889587292,95.00344669124267,128.57680309780474,49.93259099665955,0.12145456197953694,0.5218720199768423
OLS,ED_rate,-5.7797048178995265,5.992358705301486,313.9544957430806,85.83268316292461,250.87925873871842,50.177777469957626,0.6971625373764652,6.476867355275992
