Feature,Correlation,Abs_Correlation,Group
CASTHMA_crude_prevalence,0.6293073940823414,0.6293073940823414,Chronic Disease (PLACES)
chr_homicides,0.5827144828816918,0.5827144828816918,Health Outcomes (CHR)
chr_life_expectancy,-0.5812884195864636,0.5812884195864636,Health Outcomes (CHR)
CASTHMA_age-adjusted_prevalence,0.5742703183669444,0.5742703183669444,Chronic Disease (PLACES)
MHLTH_crude_prevalence,0.573815454687363,0.573815454687363,Chronic Disease (PLACES)
DIABETES_age-adjusted_prevalence,0.5725801469406364,0.5725801469406364,Chronic Disease (PLACES)
CHECKUP_age-adjusted_prevalence,0.5723741078894309,0.5723741078894309,Chronic Disease (PLACES)
OBESITY_crude_prevalence,0.5654952744010223,0.5654952744010223,Chronic Disease (PLACES)
BPHIGH_age-adjusted_prevalence,0.5648881978352825,0.5648881978352825,Chronic Disease (PLACES)
KIDNEY_age-adjusted_prevalence,0.5645845057299795,0.5645845057299795,Chronic Disease (PLACES)
BPMED_age-adjusted_prevalence,0.5642014048933802,0.5642014048933802,Chronic Disease (PLACES)
chr_obesity,0.5639876478897408,0.5639876478897408,Health Outcomes (CHR)
BINGE_age-adjusted_prevalence,-0.5638494564935955,0.5638494564935955,Chronic Disease (PLACES)
chr_phys_inactivity,0.5556876504044265,0.5556876504044265,Health Outcomes (CHR)
chr_insuff_sleep,0.5542132052975915,0.5542132052975915,Health Outcomes (CHR)
EP_MINRTY,0.5535115531707351,0.5535115531707351,Demographics (SVI)
RPL_THEME3,0.551616883738483,0.551616883738483,Demographics (SVI)
STROKE_age-adjusted_prevalence,0.5499106218824782,0.5499106218824782,Chronic Disease (PLACES)
COGNITION_crude_prevalence,0.547217323422568,0.547217323422568,Chronic Disease (PLACES)
VISION_age-adjusted_prevalence,0.5469328817773944,0.5469328817773944,Chronic Disease (PLACES)
EP_AGE17,0.5460254776535838,0.5460254776535838,Demographics (SVI)
MOBILITY_age-adjusted_prevalence,0.5433754234903592,0.5433754234903592,Chronic Disease (PLACES)
OBESITY_age-adjusted_prevalence,0.5430693852696781,0.5430693852696781,Chronic Disease (PLACES)
chr_poor_health_pct,0.5427746660055921,0.5427746660055921,Health Outcomes (CHR)
GHLTH_age-adjusted_prevalence,0.5413820222485498,0.5413820222485498,Chronic Disease (PLACES)
chr_excessive_drink,-0.5405050194085783,0.5405050194085783,Health Outcomes (CHR)
SELFCARE_age-adjusted_prevalence,0.5352165152665472,0.5352165152665472,Chronic Disease (PLACES)
INDEPLIVE_age-adjusted_prevalence,0.5332792678814385,0.5332792678814385,Chronic Disease (PLACES)
LPA_age-adjusted_prevalence,0.5314191185718768,0.5314191185718768,Chronic Disease (PLACES)
CSMOKING_crude_prevalence,0.525223535986926,0.525223535986926,Chronic Disease (PLACES)
ACCESS2_crude_prevalence,0.521349901356349,0.521349901356349,Chronic Disease (PLACES)
chr_premature_mort,0.5187015190957988,0.5187015190957988,Health Outcomes (CHR)
chr_single_parent,0.5118995812760996,0.5118995812760996,Health Outcomes (CHR)
DISABILITY_age-adjusted_prevalence,0.5032375918332277,0.5032375918332277,Chronic Disease (PLACES)
chr_pct_black,0.4953141959510453,0.4953141959510453,Health Outcomes (CHR)
