Feature,Group,N_NonNull,Pct_Missing,Mean,Std,Min,Q25,Median,Q75,Max,Skewness
ACCESS2_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,14.367,2.4933469048407177,9.3,12.5,14.0,16.4,20.5,0.23754046994667402
ACCESS2_crude_prevalence,Chronic Disease (PLACES),100,0.0,13.586000000000002,2.4060118306635423,8.8,11.875,13.55,15.325000000000001,19.8,0.2448089854196289
ARTHRITIS_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,25.264999999999997,1.5694285777333288,21.1,24.5,25.4,26.3,29.1,-0.4860954033022308
ARTHRITIS_crude_prevalence,Chronic Disease (PLACES),100,0.0,30.543000000000003,3.622300597156677,19.9,28.4,31.05,33.0,37.1,-0.805836530615725
BINGE_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,17.022000000000002,1.3541242650704275,14.0,15.975,17.2,18.0,19.9,-0.2238694332564102
BINGE_crude_prevalence,Chronic Disease (PLACES),100,0.0,14.919999999999998,1.6140168849954777,11.3,13.875,14.9,16.025,19.8,0.30673214597656123
BPHIGH_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,33.606,3.4418934183135743,27.6,30.875,33.0,35.949999999999996,43.1,0.6430893442636778
BPHIGH_crude_prevalence,Chronic Disease (PLACES),100,0.0,38.985,4.68093867388656,27.2,35.95,38.7,42.575,50.0,-0.029456816485599436
BPMED_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,61.538999999999994,2.004887714430598,58.4,60.0,61.150000000000006,63.025,66.5,0.4456096708752749
BPMED_crude_prevalence,Chronic Disease (PLACES),100,0.0,80.589,2.5410526332306627,70.9,79.3,80.85,82.325,85.2,-0.7986667662666788
CANCER_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,6.126999999999999,0.21689032745010592,5.6,6.0,6.1,6.3,6.5,-0.36185598137107244
CANCER_crude_prevalence,Chronic Disease (PLACES),100,0.0,7.853000000000001,1.1264008113805617,4.7,7.2,7.75,8.5,10.4,0.004098369206363224
CASTHMA_age-adjusted_prevalence,Chronic Disease (PLACES),100,0.0,10.158,0.6459164658127866,8.9,9.7,10.1,10.5,12.1,0.5736318220205979
