Feature,Group,VIF,R2_vs_others
E_TOTPOP,Demographics (SVI),106795.07572082028,0.9999906362723819
AHRF_population,Infrastructure (AHRF),98259.19227500084,0.9999898228351277
AHRF_md_active,Infrastructure (AHRF),15611.3057029595,0.9999359438589553
AHRF_md_total,Infrastructure (AHRF),12503.411518021829,0.9999200218277581
AHRF_md_med_spec,Infrastructure (AHRF),11500.21438191554,0.9999130450992659
AHRF_md_pcp_office,Infrastructure (AHRF),4131.080430848616,0.9997579325755721
AHRF_stgh_admissions,Infrastructure (AHRF),2659.985714432914,0.9996240581313749
AHRF_md_surg_spec,Infrastructure (AHRF),2478.426784492914,0.999596518240419
AHRF_hosp_admissions,Infrastructure (AHRF),2419.3730624132086,0.9995866697800617
AHRF_md_pcp,Infrastructure (AHRF),1816.902348715855,0.9994496126879319
AHRF_md_gp,Infrastructure (AHRF),617.001675907238,0.9983792588593384
AHRF_dentists,Infrastructure (AHRF),605.6178733205322,0.9983487937789598
AHRF_stgh_beds,Infrastructure (AHRF),468.5206603917325,0.9978656224057144
AHRF_md_obgyn,Infrastructure (AHRF),389.02357148034645,0.9974294616745337
AHRF_np,Infrastructure (AHRF),232.5488795824909,0.9956998287766625
Medicaid_Enrollment,Insurance/Enrollment,210.95922739481304,0.9952597475239683
AHRF_hosp_beds,Infrastructure (AHRF),199.09230319805474,0.99497720412122
AHRF_pa,Infrastructure (AHRF),180.77063252727544,0.9944681280027655
AHRF_pop_65plus,Infrastructure (AHRF),165.12797857528543,0.9939440910702841
AHRF_md_psych,Infrastructure (AHRF),121.68014836342999,0.9917817325714197
AHRF_hosp_ft_staff,Infrastructure (AHRF),104.61886993512046,0.9904414949175024
AHRF_hosp_pt_staff,Infrastructure (AHRF),65.78071512458703,0.9847979761529496
MA_Enrollment_Annual,Insurance/Enrollment,49.55240964669307,0.979819346685056
ChildPovertyRate,Economic,23.087351827646202,0.9566862406972748
BPHIGH_crude_prevalence,Chronic Disease (PLACES),22.24681275573039,0.9550497407884904
PovertyRate,Economic,20.951756858615926,0.9522713056118359
EP_AGE65,Demographics (SVI),15.169586913872006,0.9340786268157679
MedianHouseholdIncome,Economic,12.902997387895084,0.9224986280367578
EP_MINRTY,Demographics (SVI),11.173150257539149,0.9104997268496193
EP_POV150,Demographics (SVI),9.422636594593738,0.8938725918206638
chr_injury_deaths,Health Outcomes (CHR),7.181549356879577,0.8607542815197603
chr_ypll_rate,Health Outcomes (CHR),6.55560887727669,0.8474588678610404
EP_MOBILE,Demographics (SVI),5.376566132086373,0.8140076815884062
EP_NOINT,Demographics (SVI),5.1827964122160415,0.8070539684632483
chr_homicides,Health Outcomes (CHR),4.310502937774987,0.7680085098106477
chr_mvcrash_deaths,Health Outcomes (CHR),4.067960524234976,0.7541765722547022
chr_child_mort,Health Outcomes (CHR),3.971545536342869,0.7482088545002978
chr_suicides,Health Outcomes (CHR),3.396814631833412,0.7056065436634511
chr_drug_overdose,Health Outcomes (CHR),3.0855104590006985,0.6759045178139279
chr_population,Health Outcomes (CHR),1.9058811138740164,0.4753083008586324
