Feature,Coverage,N_Available,N_Total,Years,N_Years,Selected
PovertyRate,1.0,600,600,2018-2023,6,True
MedianHouseholdIncome,1.0,600,600,2018-2023,6,True
ChildPovertyRate,1.0,600,600,2018-2023,6,True
UnemploymentRate,1.0,600,600,2018-2023,6,True
RPL_THEME1,1.0,600,600,2018-2023,6,True
RPL_THEME2,1.0,600,600,2018-2023,6,True
RPL_THEME3,1.0,600,600,2018-2023,6,True
RPL_THEME4,1.0,600,600,2018-2023,6,True
EP_UNEMP,1.0,600,600,2018-2023,6,True
EP_UNINSUR,1.0,600,600,2018-2023,6,True
EP_AGE65,1.0,600,600,2018-2023,6,True
EP_AGE17,1.0,600,600,2018-2023,6,True
EP_DISABL,1.0,600,600,2018-2023,6,True
EP_MINRTY,1.0,600,600,2018-2023,6,True
EP_MOBILE,1.0,600,600,2018-2023,6,True
EP_NOVEH,1.0,600,600,2018-2023,6,True
E_TOTPOP,1.0,600,600,2018-2023,6,True
ACCESS2_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
ARTHRITIS_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
ACCESS2_crude_prevalence,1.0,600,600,2018-2023,6,True
CHD_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
CASTHMA_crude_prevalence,1.0,600,600,2018-2023,6,True
ARTHRITIS_crude_prevalence,1.0,600,600,2018-2023,6,True
BINGE_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
BINGE_crude_prevalence,1.0,600,600,2018-2023,6,True
CASTHMA_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
CANCER_crude_prevalence,1.0,600,600,2018-2023,6,True
CANCER_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
COPD_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
CHECKUP_crude_prevalence,1.0,600,600,2018-2023,6,True
CSMOKING_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
COPD_crude_prevalence,1.0,600,600,2018-2023,6,True
CHECKUP_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
CHD_crude_prevalence,1.0,600,600,2018-2023,6,True
STROKE_crude_prevalence,1.0,600,600,2018-2023,6,True
STROKE_age-adjusted_prevalence,1.0,600,600,2018-2023,6,True
