County,Region,E_TOTPOP,Total_ED,ED_rate_per_1000,Observed_log_ED,Predicted_log_ED,Residual,Excess_ratio,Expected_ED,Excess_ED_visits,Excess_z,Classification
Alamance,Piedmont,171779,44396,258.448355154006,10.70090465427187,11.04281551991153,-0.3419108656396599,0.7104115239639415,62493.35561489767,-18097.35561489767,-0.3539119451254669,Expected
Alexander,West,36505,0,0.0,,,,,,,,No ED Facility
Alleghany,West,10989,4916,447.35644735644735,8.500250470685925,9.061105650415195,-0.5608551797292698,0.5707207862485469,8613.66909783289,-3697.6690978328897,-0.5709121421205221,Expected
Anson,Piedmont,22200,15679,706.2612612612612,9.66007751636045,9.242009067666489,0.41806844869396187,1.5190246460969572,10321.754844653939,5357.245155346061,0.3993191292154995,Expected
Ashe,West,26759,8438,315.33315893718003,9.040500592684284,9.245971899536647,-0.20547130685236326,0.8142634580135827,10362.739377479522,-1924.7393774795219,-0.21868390205948438,Expected
Avery,West,17679,7075,400.1923185700549,8.864322722511439,9.14238117982558,-0.2780584573141418,0.7572525532700556,9342.985995158311,-2267.985995158311,-0.2906265145681101,Expected
Beaufort,East,44711,17960,401.6908590727114,9.795902341856191,10.00044260569531,-0.20454026383911916,0.8150219253451719,22036.216991823538,-4076.2169918235377,-0.21776112624717373,Expected
Bertie,East,17818,8995,504.8265798630598,9.104424146384634,8.641811472108687,0.4626126742759471,1.5882180655552993,5663.579954843936,3331.4200451560637,0.4434678241312615,Expected
Bladen,South Central,29807,11198,375.683564263428,9.323490469908839,9.3038504109016,0.019640059007238975,1.0198341938230588,10980.216262431824,217.78373756817564,0.004428586339581914,Expected
Brunswick,East,139721,36628,262.15100092326855,10.508568254227622,10.690206832498616,-0.18163857827099328,0.8339026765049157,43923.590884150464,-7295.590884150464,-0.1950627963066751,Expected
Buncombe,West,269449,66585,247.11540959513675,11.106234605936246,11.115122043312402,-0.00888743737615627,0.9911519391569004,67179.40748482918,-594.4074848291784,-0.023845600001876785,Expected
Burke,West,87799,37185,423.5241859246688,10.523660733137401,10.527254972456383,-0.003594239318982062,0.9964122122273772,37318.89226535749,-133.89226535749185,-0.018599402922419697,Expected
Cabarrus,Piedmont,226396,92082,406.7298008798742,11.43043476340315,11.181380877261383,0.24905388614176793,1.28281115695125,71781.41498148772,20300.585018512284,0.23180533228790146,Expected
Caldwell,West,80716,20315,251.6849199663016,9.919114808421828,10.362476212629833,-0.4433614042080052,0.6418751887698868,31649.45515175999,-11334.45515175999,-0.45446165314654446,Expected
Camden,East,10547,0,0.0,,,,,,,,No ED Facility
Carteret,East,68353,33677,492.69234708059633,10.424570390754766,9.710333963974103,0.7142364267806638,2.0426263918264644,16487.107057246463,17189.892942753537,0.6928572823101606,Expected
Caswell,Piedmont,22747,0,0.0,,,,,,,,No ED Facility
Catawba,West,161011,63599,394.99785728925355,11.06035302593416,10.864414513712454,0.19593851222170677,1.2164521060973164,52282.37074128756,11316.62925871244,0.1791615965871338,Expected
Chatham,Piedmont,76754,13912,181.2543971649686,9.54050705603412,10.048681284556869,-0.5081742285227495,0.6015929479801051,23125.27107691442,-9213.271076914421,-0.5186989716747119,Expected
Cherokee,West,28868,11402,394.97020922821116,9.341544057591527,8.995522079447822,0.34602197814370506,1.4134336801248473,8066.880080990337,3335.119919009663,0.3279123956485094,Expected
Chowan,East,13835,14759,1066.7871340802312,9.599608345181776,9.173751394090582,0.4258569510911947,1.5309017656420232,9640.723089642815,5118.2769103571845,0.40703847356807427,Expected
Clay,West,11186,0,0.0,,,,,,,,No ED Facility
Cleveland,West,99527,75200,755.5738643785104,11.227906509937931,10.534022311772437,0.6938841981654935,2.00147457853952,37572.29834758809,37627.70165241191,0.6726857714072889,Expected
Columbus,South Central,50827,10,0.1967458240698841,2.302585092994046,10.00801600473503,-7.705430911740984,0.00045037458437388974,22203.739613552996,-22193.739613552996,-7.652047579408436,Below Expected
Craven,East,101098,42948,424.81552552968407,10.667745360554026,10.743618843431165,-0.0758734828771388,0.92693347209715,46333.42229279071,-3385.4222927907103,-0.09023684258826166,Expected
Cumberland,South Central,335207,72919,217.5342400367534,11.197104515039761,11.4099882066556,-0.2128836916158381,0.8082501380173932,90218.35762239086,-17299.35762239086,-0.2260304685166469,Expected
Currituck,East,28616,0,0.0,,,,,,,,No ED Facility
Dare,East,37160,18474,497.14747039827773,9.824119617152556,9.59417664665126,0.22994297050129653,1.258528234648517,14679.05088768982,3794.9491123101798,0.21286411211517364,Expected
Davidson,Piedmont,169498,55825,329.35491864210786,10.929977076708358,10.69385405185788,0.2361230248504782,1.2663300906543067,44084.08235103649,11740.917648963507,0.2189892906419094,Expected
Davie,Piedmont,43030,18228,423.6114338833372,9.810714152383774,9.615960912569353,0.19475323981442116,1.2150111331226263,15002.331668478904,3225.6683315210958,0.17798684881191404,Expected
Duplin,East,49312,23093,468.3038611291369,10.047284820283895,9.530436521867383,0.5168482984165124,1.6767347457001163,13772.601813865072,9320.398186134928,0.49722186278528907,Expected
Durham,North Central,325101,88598,272.52453852802665,11.391864562974959,11.658400391495151,-0.2665358285201922,0.7660285575648769,115658.87345198149,-27060.87345198149,-0.2792062010121957,Expected
Edgecombe,East,49067,19795,403.42796584262334,9.89318465954023,9.874906545897277,0.018278113642953286,1.018446180783955,19436.471335935163,358.52866406483736,0.0030787343757371875,Expected
Forsyth,Piedmont,383739,179063,466.6270564107375,12.095492978208414,11.802193689975956,0.29329928823245766,1.34084402922517,133544.98815456906,45518.01184543094,0.2756578571170024,Expected
Franklin,North Central,69680,10473,150.30137772675087,9.256555795773146,10.182373606706394,-0.925817810933248,0.39620726391198186,26433.13476031221,-15960.134760312209,-0.9326340858777966,Expected
Gaston,West,228972,77861,340.04594448229483,11.262680464647342,11.066584323293338,0.19609614135400477,1.216643869500635,63996.54159434316,13864.458405656842,0.17931782605079014,Expected
Gates,East,10509,0,0.0,,,,,,,,No ED Facility
Graham,West,8047,0,0.0,,,,,,,,No ED Facility
Granville,North Central,61161,20254,331.1587449518484,9.91610758389223,10.066577150003962,-0.150469566111731,0.8603039120021364,23542.84307840008,-3288.843078400081,-0.16417054954144086,Expected
Greene,East,20407,0,0.0,,,,,,,,No ED Facility
Guilford,Piedmont,539557,167862,311.11078162270155,12.030897492256653,11.964647200924322,0.06625029133233085,1.0684941185169885,157101.47308343003,10760.526916569972,0.05062494288159548,Expected
Halifax,East,48772,19035,390.28540966128105,9.854034668816597,9.277836476717425,0.5761981920991719,1.7792611468616732,10698.260923403306,8336.739076596694,0.5560447588003077,Expected
Harnett,South Central,134718,42960,318.88834454193204,10.668024729182747,10.687981088286776,-0.01995635910402882,0.9802414509885096,43825.93692266091,-865.9369226609124,-0.03481623518579899,Expected
Haywood,West,62152,16179,260.31342515124214,9.691469384005337,10.027667477989997,-0.3361980939846596,0.7144815572979143,22644.391355862423,-6465.391355862423,-0.3482499000539724,Expected
Henderson,West,116469,41361,355.12453957705486,10.63009368683974,10.702218862384525,-0.07212517554478559,0.9304144233892843,44454.38393928963,-3093.3839392896334,-0.08652181836897203,Expected
Hertford,East,21633,15446,714.001756575602,9.64510534912921,9.308232226142003,0.33687312298720684,1.4005613534243406,11028.435107276731,4417.564892723269,0.31884477779556625,Expected
Hoke,Piedmont,52612,71257,1354.3868319014673,11.174048338919148,9.895543085957094,1.278505252962054,3.5912676749215415,19841.74014585442,51415.25985414558,1.2521156807238099,Excess Burden
Hyde,East,4636,0,0.0,,,,,,,,No ED Facility
Iredell,West,187839,71555,380.93793088762186,11.178221663744976,10.871923418199744,0.3062982455452321,1.3583873791238674,52676.43170105977,18878.568298940227,0.2885413901255275,Expected
